Date,N10D,GPRD,GPRD_ACT,GPRD_THREAT
31/8/2012,1004,69.28677368,52.62743378,76.8188324
4/9/2012,795,83.3350296,91.38637543,62.3661232
5/9/2012,892,81.70010376,96.25746155,67.93619537
6/9/2012,1025,54.94014359,45.1055603,53.74641418
7/9/2012,1045,69.73827362,88.48458862,57.98955536
10/9/2012,748,66.42849731,70.63896179,73.64983368
11/9/2012,835,79.34294128,63.27897263,79.17136383
12/9/2012,902,99.15667725,73.22330475,103.8283081
13/9/2012,1057,65.81260681,68.73431396,57.33120346
14/9/2012,956,76.2306366,48.3610878,92.20095825
17/9/2012,756,92.01576996,34.9457283,123.8797989
18/9/2012,799,82.91783905,57.86383057,89.63341522
19/9/2012,874,53.06172562,30.2276535,63.03212738
20/9/2012,1013,52.32091522,45.63987732,54.38309479
21/9/2012,927,67.89513397,85.49829102,59.42834473
24/9/2012,769,60.30682373,34.35496902,71.63859558
25/9/2012,840,74.92713165,86.49067688,85.25845337
26/9/2012,911,87.26852417,65.24993134,108.8497696
27/9/2012,994,106.6420135,132.8922119,94.21844482
28/9/2012,994,89.97920227,59.80149078,116.3874817
1/10/2012,763,52.09804916,69.25025177,43.32115936
2/10/2012,896,81.3353653,117.9418335,67.63290405
3/10/2012,882,63.84767532,52.41859436,62.46040726
4/10/2012,1058,72.01234436,68.66934204,62.48401642
5/10/2012,979,87.97422028,121.4355164,73.15332031
8/10/2012,787,92.60036469,109.0999451,77.00010681
9/10/2012,827,108.1491318,71.87748718,146.55159
10/10/2012,924,64.53054047,57.183918,65.58342743
11/10/2012,1003,89.17181396,79.01985168,98.86553955
12/10/2012,1060,81.25166321,87.23245239,88.35201263
15/10/2012,689,129.8103333,124.6177902,111.9392014
16/10/2012,870,79.95852661,30.36663246,107.6472778
17/10/2012,937,95.45285797,112.7810898,76.4323349
18/10/2012,1085,109.91008,121.7464066,101.5485306
19/10/2012,1021,103.821907,135.846817,70.14407349
22/10/2012,730,163.3594971,171.9042664,158.478302
23/10/2012,902,106.5016174,95.19030762,116.0434036
24/10/2012,891,74.35617065,81.54003143,68.01244354
25/10/2012,1031,89.96303558,89.68612671,74.80708313
26/10/2012,976,67.88048553,87.9730072,56.44474792
31/10/2012,925,75.20423889,128.5247192,23.82273674
1/11/2012,989,53.59057999,66.7820282,38.99196625
2/11/2012,1020,55.20946503,71.22761536,48.60889435
5/11/2012,807,61.57188797,73.65883636,54.61222076
6/11/2012,818,129.5870056,104.9653397,127.9598389
7/11/2012,912,43.58641815,43.45225525,48.32462692
8/11/2012,1058,59.48845673,43.69867706,67.69101715
9/11/2012,1012,72.01234436,58.7378273,81.65525055
12/11/2012,795,108.3355484,91.38637543,110.8731079
13/11/2012,865,61.27292633,68.71986389,57.31915283
14/11/2012,873,56.9169693,90.78684235,25.24173164
15/11/2012,1132,96.56777954,110.856987,87.59906769
16/11/2012,980,98.02496338,128.0511322,78.70011139
19/11/2012,968,116.3505173,102.3462143,125.2047195
20/11/2012,855,135.6021881,108.1478348,173.9686584
21/11/2012,1055,116.1753616,125.2083969,114.879776
23/11/2012,865,122.5458527,152.7108154,95.53192139
26/11/2012,779,110.5606689,118.6988373,91.93466187
27/11/2012,788,67.26025391,50.28991699,69.91126251
28/11/2012,897,55.394104,95.72090912,24.5663662
29/11/2012,1047,56.94958496,75.69905853,36.83195114
30/11/2012,971,68.23002625,88.42601013,51.06186295
3/12/2012,786,67.43140411,84.02980042,63.08024216
4/12/2012,877,101.9832687,105.4348831,100.5064087
5/12/2012,897,84.93763733,103.084053,79.84069061
6/12/2012,1089,39.5439682,48.51968765,35.41143417
7/12/2012,927,107.2028427,135.3722839,77.2568512
10/12/2012,774,59.91724396,51.19955444,64.05822754
11/12/2012,831,107.6285553,71.5315094,119.3286896
12/12/2012,854,108.6087723,123.7422409,103.2132568
13/12/2012,1036,95.92377472,82.87804413,95.71634674
14/12/2012,949,104.7176361,125.2743607,81.27092743
17/12/2012,756,87.63406372,96.10075378,72.87046814
18/12/2012,825,80.30467224,136.0977325,33.38792419
19/12/2012,1104,102.0174866,125.6336823,89.82077789
20/12/2012,966,82.29981995,54.69766235,91.24650574
21/12/2012,946,77.03646088,55.85405731,87.35212708
24/12/2012,630,89.38674927,146.7720642,34.97782516
26/12/2012,533,55.93453598,61.9581871,41.34339523
27/12/2012,748,61.99993134,61.80908966,66.28485107
28/12/2012,733,103.9414215,126.1478806,90.18838501
31/12/2012,803,49.5028801,49.35050583,54.88425827
2/1/2013,684,82.32990265,67.59239197,88.59515381
3/1/2013,887,78.42606354,119.1385269,43.47582245
4/1/2013,824,80.4021225,112.2164993,46.79981995
7/1/2013,751,83.80664063,123.1243591,66.02006531
8/1/2013,822,84.62763977,96.41960144,67.01956177
9/1/2013,894,70.40132904,132.9813843,24.64880371
10/1/2013,1032,54.56749344,57.59950256,48.04367447
11/1/2013,907,94.95783997,101.9475174,91.10816956
14/1/2013,769,77.53734589,128.831131,42.9831543
15/1/2013,849,124.8553238,194.4859467,84.3546524
16/1/2013,931,96.06802368,120.6021729,88.75952148
17/1/2013,1052,125.9531403,131.8437195,136.1541901
18/1/2013,949,146.6046753,187.9115448,168.3469086
22/1/2013,789,151.1437836,175.791626,181.5389099
23/1/2013,878,116.9585342,90.2698288,144.3134155
24/1/2013,1042,98.55047607,95.0778656,105.7391129
25/1/2013,957,124.6106873,124.2271271,120.8873138
28/1/2013,765,121.2443161,138.1384125,108.0197601
29/1/2013,805,37.03491974,41.02324677,34.21743774
30/1/2013,845,90.16455841,70.34636688,97.79303741
31/1/2013,1111,53.66896439,17.8345871,79.33764648
1/2/2013,963,134.1538391,137.1701508,131.57547
4/2/2013,761,82.70536804,86.79031372,86.87002563
5/2/2013,814,81.38986969,89.25328064,67.67822266
6/2/2013,864,92.01576996,122.310051,76.51399231
7/2/2013,1047,75.93278503,126.1650925,36.83195114
8/2/2013,939,91.7217865,126.6084824,58.66887665
11/2/2013,741,98.34883881,169.3523712,29.73823166
12/2/2013,836,91.13523865,102.7053223,72.48694611
13/2/2013,899,176.866806,80.81442261,232.8612823
14/2/2013,1153,86.18997192,85.92466736,90.78156281
15/2/2013,949,73.30233765,90.47592163,58.05065918
19/2/2013,762,113.0272446,86.67641449,137.3637085
20/2/2013,838,86.96478271,110.3417664,65.73994446
21/2/2013,1096,33.2465744,12.05245018,45.23820114
22/2/2013,898,81.15421295,95.61431885,61.34752274
25/2/2013,801,49.62648392,57.71935272,41.26597595
26/2/2013,840,114.3624649,102.2162552,111.4918213
27/2/2013,834,119.1571121,95.03227234,151.9270782
28/2/2013,1103,66.07115936,11.97596073,99.89134216
1/3/2013,934,56.74634171,42.4287529,70.77954102
4/3/2013,730,45.37763977,54.28555298,52.8260994
5/3/2013,810,85.88137817,73.3860321,88.41617584
6/3/2013,884,89.93396759,52.29999924,112.1743698
7/3/2013,1113,89.28753662,94.94688416,89.09445953
8/3/2013,968,92.39599609,75.05389404,108.1313553
11/3/2013,798,70.56848907,99.31944275,62.13166428
12/3/2013,787,92.60036469,109.0999451,91.0001297
13/3/2013,889,104.33284,66.86466217,136.3308868
14/3/2013,1127,49.96774673,29.30231857,63.54666901
15/3/2013,956,86.62572479,62.17853928,121.0137634
18/3/2013,741,107.2896423,115.8726807,96.64925385
19/3/2013,848,82.03292084,70.09750366,84.45412445
20/3/2013,868,72.51012421,83.70065308,50.77426529
21/3/2013,1238,85.62372589,53.35010147,102.3482819
22/3/2013,967,109.6196136,129.7726135,113.9401779
25/3/2013,741,102.8192368,89.13282776,111.5183716
26/3/2013,791,87.9442749,116.8981018,48.75228119
27/3/2013,824,100.5026627,160.3092804,60.1711998
28/3/2013,1099,57.26914215,48.07819748,60.15295029
1/4/2013,732,99.55804443,36.09148788,142.9933624
2/4/2013,777,72.47573853,25.50093651,99.26139832
3/4/2013,816,77.130867,56.65833282,81.01481628
4/4/2013,1071,123.718689,80.16960907,149.1701355
5/4/2013,932,99.51920319,49.60643387,130.0409546
8/4/2013,734,121.8519516,80.98458099,172.6255798
9/4/2013,848,82.03292084,70.09750366,97.44706726
10/4/2013,827,92.12703705,63.89110184,106.5829773
11/4/2013,1090,54.70295334,42.4157753,60.64962387
12/4/2013,886,97.20853424,44.72737885,149.2281952
15/4/2013,692,105.3128433,76.35540771,111.4539108
16/4/2013,823,108.6747513,144.4536743,113.7948151
17/4/2013,862,153.7154388,245.1876526,70.30056
18/4/2013,1044,82.49689484,88.56934357,84.42923737
19/4/2013,908,91.20505524,50.91762161,115.2765884
22/4/2013,722,165.1695709,137.2176514,160.2342987
23/4/2013,821,153.3222504,152.8503113,134.2023773
24/4/2013,888,104.4503326,111.5665894,93.05755615
25/4/2013,1167,76.64038086,124.5110016,61.36854935
26/4/2013,942,98.46273041,91.14825439,99.41945648
29/4/2013,741,89.40803528,98.04611206,66.911026
30/4/2013,799,74.62605286,90.92887115,55.1590271
1/5/2013,865,68.93204498,76.35540771,63.68794632
2/5/2013,1034,70.48016357,76.65077972,74.59004211
3/5/2013,966,82.29981995,136.7441559,28.51453209
6/5/2013,712,88.39717102,139.1448669,61.89896393
7/5/2013,798,83.02174377,99.31944275,82.84222412
8/5/2013,858,84.93763733,46.18701172,102.7320786
9/5/2013,1069,65.07382202,80.31960297,51.53421783
10/5/2013,922,61.0777092,71.63495636,41.82543945
13/5/2013,715,78.76035309,110.8488312,53.93434143
14/5/2013,802,86.73805237,74.11805725,89.29812622
15/5/2013,893,44.51379013,59.16902924,30.84550858
16/5/2013,1033,89.78886414,121.4812317,74.66225433
17/5/2013,908,105.7978668,138.2049713,97.07501984
20/5/2013,727,123.0252151,154.4437714,106.0881805
21/5/2013,799,95.35551453,90.92887115,117.2129211
22/5/2013,863,76.7686615,76.53236389,70.21910095
23/5/2013,1116,100.920517,136.1192474,74.04579926
24/5/2013,915,104.9884796,158.8025513,54.18696213
28/5/2013,757,157.5329437,139.5982666,189.2129517
29/5/2013,827,108.1491318,95.83664703,139.890152
30/5/2013,1044,95.18872833,94.89572906,89.70606232
31/5/2013,888,67.14663696,59.50218582,80.64988708
3/6/2013,737,62.9253006,53.76995087,59.79927063
4/6/2013,812,110.1469498,73.20527649,128.9053497
5/6/2013,847,58.66412354,38.98903656,65.04141235
6/6/2013,1110,80.57597351,101.153717,69.48297882
7/6/2013,910,156.5279236,188.7069397,145.292511
10/6/2013,712,97.70214081,120.5922089,77.373703
11/6/2013,813,126.3094635,146.2304688,94.86606598
12/6/2013,860,80.88828278,76.79933167,70.46405029
13/6/2013,1049,82.10367584,132.2207794,68.27178192
14/6/2013,954,79.86274719,62.30889511,86.61962128
17/6/2013,710,149.2988129,102.3269958,178.4608002
18/6/2013,800,124.2212906,99.07113647,130.8389282
19/6/2013,825,116.4417725,136.0977325,113.5189514
20/6/2013,1052,91.31602478,94.17408752,89.02388763
21/6/2013,899,73.69450378,95.50795746,61.27928543
24/6/2013,737,89.89329529,125.4632263,52.32435989
25/6/2013,771,85.92912292,94.23108673,71.45275879
26/6/2013,821,96.83511353,104.5817947,80.52143097
27/6/2013,1017,39.08634567,32.47169113,43.33536148
28/6/2013,924,39.43532944,42.88793945,41.73490906
1/7/2013,691,71.90812683,114.6988525,39.86257172
2/7/2013,768,107.8309784,77.39933014,129.1173706
3/7/2013,819,84.93763733,48.3863945,114.3505859
5/7/2013,780,67.95011139,33.87047577,91.81679535
8/7/2013,678,87.9442749,87.67357635,81.25379944
9/7/2013,770,98.94683075,111.5086365,78.70011139
10/7/2013,760,87.1728363,104.285408,65.23825073
11/7/2013,1029,77.26105499,70.60463715,80.30623627
12/7/2013,838,75.1059494,102.4602051,39.44396973
15/7/2013,658,125.8574448,110.4136353,117.2129211
16/7/2013,789,100.7625122,75.33927155,111.7162476
17/7/2013,790,117.4074631,108.6856384,118.5482635
18/7/2013,1017,55.37231827,25.97735596,81.25379944
19/7/2013,871,83.66990662,98.57824707,75.89907074
22/7/2013,679,78.05756378,77.81729126,64.90730286
23/7/2013,752,74.88516998,105.3948288,58.60646057
24/7/2013,805,49.37989044,65.63719177,41.06092453
25/7/2013,970,54.64029312,68.09012604,39.75572586
26/7/2013,869,87.67440796,68.40354919,95.0921936
29/7/2013,683,101.8505478,135.3827209,56.46128082
30/7/2013,723,96.2156601,82.21671295,106.6751175
31/7/2013,789,50.3812561,58.59721375,34.91132736
1/8/2013,1009,45.9622879,65.45829773,27.29934311
2/8/2013,835,43.63861847,31.63948631,52.78091049
5/8/2013,656,85.84397888,70.47743988,92.37665558
6/8/2013,704,65.87492371,93.81736755,62.60235977
7/8/2013,798,128.6837158,182.0856323,131.1668549
8/8/2013,973,95.32569122,88.24424744,101.9138107
9/8/2013,897,81.24469757,117.8103485,67.55751038
12/8/2013,664,84.80971527,99.46901703,82.96698761
13/8/2013,759,78.55891418,78.31710052,65.32419586
14/8/2013,782,42.36020279,33.78384781,42.26860046
15/8/2013,1048,75.86032867,63.02235413,84.106987
16/8/2013,886,48.60426712,74.54562378,49.742733
19/8/2013,703,113.0890808,159.7164001,62.69141006
20/8/2013,722,96.34892273,73.18273926,99.19265747
21/8/2013,797,62.34443283,82.87004852,55.29743958
22/8/2013,960,58.66005325,75.67934418,45.90839767
23/8/2013,844,98.12107849,164.3360138,52.21808243
26/8/2013,692,110.0998001,133.6219635,71.64894104
27/8/2013,685,154.7476807,202.4811554,112.5928574
28/8/2013,826,140.3630371,159.9211273,120.0510101
29/8/2013,918,187.6399994,179.8677216,198.0362244
30/8/2013,866,122.4043503,114.400856,120.8673706
3/9/2013,753,105.5798492,96.48362732,124.3733521
4/9/2013,791,50.25387192,66.79891968,41.78767014
5/9/2013,1036,89.528862,82.87804413,85.08119965
6/9/2013,867,126.0838852,129.5047607,114.3738632
9/9/2013,772,111.5631561,153.9965973,64.22418213
10/9/2013,794,66.75199127,74.86483765,62.44467163
11/9/2013,869,110.5459824,98.80512238,139.4685516
12/9/2013,1042,76.29714203,95.0778656,74.01737976
13/9/2013,904,95.27296448,116.8981018,79.22245789
16/9/2013,726,127.7574387,109.1692963,128.9987946
17/9/2013,794,112.6439896,91.50147247,111.0127411
18/9/2013,837,83.11102295,102.5826263,59.23664093
19/9/2013,1077,58.43898392,30.6626873,76.72712708
20/9/2013,985,90.80135345,73.75854492,100.6722183
23/9/2013,724,164.7133026,228.0643158,152.1825256
24/9/2013,761,174.1165771,216.975769,130.3050385
25/9/2013,822,124.9265137,104.454567,127.3371582
26/9/2013,1025,129.2709351,109.5420685,145.1153107
27/9/2013,933,131.3665619,84.94845581,171.2338867
30/9/2013,768,116.4574585,94.59918213,143.4637299
1/10/2013,848,132.8152161,147.9836121,116.9364853
2/10/2013,859,65.55722046,53.82211304,76.95936584
3/10/2013,1071,40.20857239,43.16825104,51.43798065
4/10/2013,974,102.029808,128.8399506,73.52884674
7/10/2013,715,125.0899734,203.2228546,53.93434143
8/10/2013,812,93.82888794,138.2766266,67.8449173
9/10/2013,868,87.77541351,53.26405334,107.8953094
10/10/2013,1090,57.74200439,54.5345726,70.75789642
11/10/2013,948,66.39112091,55.73622131,69.73427582
14/10/2013,738,85.28290558,80.54563904,89.57735443
15/10/2013,776,102.4505463,119.1577225,70.99236298
16/10/2013,848,66.40760803,31.15444756,84.45412445
17/10/2013,1041,63.64203262,63.44613647,68.79644775
18/10/2013,911,72.72377014,57.99993515,78.61371613
21/10/2013,717,133.9811249,119.7512589,145.9848633
22/10/2013,844,70.64717865,93.90628815,45.6908226
23/10/2013,825,88.33514404,96.06898499,80.13101959
24/10/2013,980,60.84307861,40.43719864,73.07867432
25/10/2013,912,50.85081863,57.93634033,36.24347305
28/10/2013,723,73.30716705,100.4870911,45.71790695
29/10/2013,805,65.83985138,82.04649353,41.06092453
30/10/2013,826,88.22819519,111.9447861,93.37300873
31/10/2013,990,60.22850037,106.7433167,11.1293087
1/11/2013,922,64.67051697,64.47145844,59.75062561
4/11/2013,719,55.28624725,36.74404907,61.2963295
5/11/2013,776,59.76281738,68.09012604,42.59542084
6/11/2013,827,76.10494232,55.90471268,79.93723297
7/11/2013,1051,53.58101654,56.55821228,57.65850067
8/11/2013,907,120.523407,43.69179153,163.9947052
11/11/2013,725,91.38117981,72.87992096,91.18357086
12/11/2013,828,88.01508331,23.93022728,126.4144287
13/11/2013,878,45.27427292,22.5674572,56.4704628
14/11/2013,999,99.47650909,79.33625031,110.2904358
15/11/2013,891,92.94522095,51.88911057,129.8419342
18/11/2013,716,83.27684021,46.12250519,100.02388
