,PX_VOLUME
2016-03-23,492003
2016-03-24,495168
2016-03-25,495168
2016-03-28,299775
2016-03-29,488032
2016-03-30,542469
2016-03-31,532152
2016-04-01,547190
2016-04-04,549477
2016-04-05,485543
2016-04-06,751048
2016-04-07,626749
2016-04-08,817230
2016-04-11,679351
2016-04-12,796837
2016-04-13,730437
2016-04-14,488614
2016-04-15,520146
2016-04-18,342463
2016-04-19,101734
2016-04-20,30086
2016-04-21,671103
2016-04-22,575107
2016-04-25,606383
2016-04-26,564392
2016-04-27,648028
2016-04-28,487412
2016-04-29,598439
2016-05-02,464027
2016-05-03,625551
2016-05-04,711125
2016-05-05,746159
2016-05-06,695306
2016-05-09,767568
2016-05-10,709415
2016-05-11,869957
2016-05-12,715102
2016-05-13,519363
2016-05-16,550863
2016-05-17,470440
2016-05-18,343184
2016-05-19,108816
2016-05-20,30362
2016-05-23,475453
2016-05-24,475965
2016-05-25,550501
2016-05-26,488465
2016-05-27,406386
2016-05-30,406386
2016-05-31,476988
2016-06-01,568839
2016-06-02,564846
2016-06-03,481034
2016-06-06,450472
2016-06-07,542254
2016-06-08,656416
2016-06-09,560723
2016-06-10,596119
2016-06-13,506036
2016-06-14,456144
2016-06-15,527870
2016-06-16,507910
2016-06-17,226653
2016-06-20,98293
2016-06-21,30105
2016-06-22,569939
2016-06-23,401885
2016-06-24,649446
2016-06-27,504613
2016-06-28,498851
2016-06-29,511476
2016-06-30,508736
2016-07-01,405187
2016-07-04,405187
2016-07-05,609194
2016-07-06,607663
2016-07-07,710893
2016-07-08,583078
2016-07-11,533657
2016-07-12,658257
2016-07-13,686245
2016-07-14,573761
2016-07-15,430256
2016-07-18,211393
2016-07-19,128127
2016-07-20,29390
2016-07-21,432972
2016-07-22,428407
2016-07-25,389837
2016-07-26,461324
2016-07-27,537390
2016-07-28,447913
2016-07-29,478763
2016-08-01,533020
2016-08-02,534512
2016-08-03,655186
2016-08-04,598836
2016-08-05,550189
2016-08-08,562530
2016-08-09,624703
2016-08-10,676148
2016-08-11,682235
2016-08-12,536081
2016-08-15,522526
2016-08-16,550440
2016-08-17,563354
2016-08-18,229277
2016-08-19,162438
2016-08-22,36525
2016-08-23,623904
2016-08-24,603495
2016-08-25,458816
2016-08-26,558344
2016-08-29,309254
2016-08-30,464449
2016-08-31,549007
2016-09-01,605003
2016-09-02,576915
2016-09-05,576915
2016-09-06,932145
2016-09-07,572884
2016-09-08,761943
2016-09-09,688191
2016-09-12,745016
2016-09-13,657775
2016-09-14,705861
2016-09-15,537185
2016-09-16,231191
2016-09-19,129857
2016-09-20,37384
2016-09-21,585987
2016-09-22,521680
2016-09-23,718395
2016-09-26,527119
2016-09-27,630757
2016-09-28,1008434
2016-09-29,702649
2016-09-30,496515
2016-10-03,458021
2016-10-04,513710
2016-10-05,520070
2016-10-06,547915
2016-10-07,618809
2016-10-10,686070
2016-10-11,765608
2016-10-12,533884
2016-10-13,740676
2016-10-14,519431
2016-10-17,418723
2016-10-18,192803
2016-10-19,132427
2016-10-20,24858
2016-10-21,551300
2016-10-24,623398
2016-10-25,553778
2016-10-26,679320
2016-10-27,543173
2016-10-28,550081
2016-10-31,649237
