,PX_VOLUME
2020-04-30,545344
2020-05-01,403201
2020-05-04,311488
2020-05-05,387240
2020-05-06,381165
2020-05-07,310261
2020-05-08,205181
2020-05-11,179591
2020-05-12,212335
2020-05-13,150864
2020-05-14,160507
2020-05-15,108016
2020-05-18,89376
2020-05-19,36070
2020-05-20,406431
2020-05-21,372814
2020-05-22,429036
2020-05-25,429036
2020-05-26,466737
2020-05-27,415246
2020-05-28,440168
2020-05-29,443647
2020-06-01,385710
2020-06-02,343483
2020-06-03,494253
2020-06-04,307612
2020-06-05,396856
2020-06-08,416639
2020-06-09,396033
2020-06-10,385868
2020-06-11,513912
2020-06-12,406508
2020-06-15,387546
2020-06-16,366323
2020-06-17,239516
2020-06-18,113384
2020-06-19,64113
2020-06-22,29891
2020-06-23,368730
2020-06-24,499490
2020-06-25,451640
2020-06-26,356712
2020-06-29,343913
2020-06-30,370059
2020-07-01,407170
2020-07-02,347096
2020-07-03,347096
2020-07-06,373236
2020-07-07,256596
2020-07-08,286740
2020-07-09,367386
2020-07-10,393149
2020-07-13,370715
2020-07-14,426971
2020-07-15,352542
2020-07-16,200101
2020-07-17,88220
2020-07-20,60179
2020-07-21,25624
2020-07-22,333647
2020-07-23,389412
2020-07-24,353159
2020-07-27,377714
2020-07-28,276804
2020-07-29,295855
2020-07-30,487325
2020-07-31,318788
2020-08-03,338326
2020-08-04,451575
2020-08-05,491268
2020-08-06,359610
2020-08-07,398997
2020-08-10,367796
2020-08-11,432843
2020-08-12,397831
2020-08-13,329507
2020-08-14,310866
2020-08-17,208429
2020-08-18,111628
2020-08-19,81299
2020-08-20,27428
2020-08-21,345368
2020-08-24,294731
2020-08-25,330800
2020-08-26,262243
2020-08-27,320968
2020-08-28,272800
2020-08-31,236877
2020-09-01,285146
2020-09-02,421771
2020-09-03,417634
2020-09-04,444184
2020-09-07,444184
2020-09-08,720975
2020-09-09,455356
2020-09-10,367555
2020-09-11,363787
2020-09-14,347563
2020-09-15,348861
2020-09-16,367612
2020-09-17,280669
2020-09-18,85906
2020-09-21,66195
2020-09-22,23217
2020-09-23,318754
2020-09-24,269992
2020-09-25,229025
2020-09-28,226425
2020-09-29,379599
2020-09-30,340294
2020-10-01,443442
2020-10-02,391428
2020-10-05,378579
2020-10-06,400531
2020-10-07,433065
2020-10-08,409787
2020-10-09,331703
2020-10-12,322035
2020-10-13,375470
2020-10-14,328295
2020-10-15,248251
2020-10-16,96488
2020-10-19,75335
2020-10-20,24518
2020-10-21,366899
2020-10-22,307494
2020-10-23,268931
2020-10-26,360184
2020-10-27,339535
2020-10-28,489954
2020-10-29,568816
2020-10-30,388971
2020-11-02,489204
2020-11-03,410611
2020-11-04,437000
2020-11-05,298366
2020-11-06,411026
2020-11-09,622921
2020-11-10,457045
2020-11-11,443772
2020-11-12,401031
2020-11-13,338187
2020-11-16,378785
2020-11-17,243677
2020-11-18,107013
2020-11-19,88144
2020-11-20,29784
2020-11-23,300717
2020-11-24,418527
2020-11-25,417182
2020-11-26,417182
2020-11-27,365128
2020-11-30,370755
2020-12-01,314919
2020-12-02,368854
2020-12-03,350768
2020-12-04,335453
2020-12-07,348871
2020-12-08,332641
2020-12-09,434976
2020-12-10,447529
2020-12-11,367305
2020-12-14,403543
2020-12-15,311169
2020-12-16,275331
2020-12-17,96536
2020-12-18,83711
2020-12-21,27955
2020-12-22,295737
2020-12-23,344306
2020-12-24,167390
2020-12-25,167390
2020-12-28,238462
2020-12-29,213778
2020-12-30,266957
2020-12-31,181894
2021-01-01,181894
2021-01-04,528525
2021-01-05,643191
2021-01-06,509365
2021-01-07,369292
2021-01-08,499416
2021-01-11,394822
2021-01-12,400200
2021-01-13,429898
2021-01-14,390087
2021-01-15,165668
2021-01-18,165668
2021-01-19,125964
2021-01-20,37840
2021-01-21,352397
2021-01-22,437484
2021-01-25,349076
2021-01-26,314538
2021-01-27,442376
2021-01-28,411406
2021-01-29,410914
2021-02-01,416067
2021-02-02,463718
2021-02-03,448693
2021-02-04,381404
2021-02-05,400833
2021-02-08,399724
2021-02-09,514698
2021-02-10,457535
2021-02-11,380445
2021-02-12,480822
2021-02-15,480822
2021-02-16,602332
2021-02-17,335419
2021-02-18,132035
2021-02-19,102427
2021-02-22,37043
2021-02-23,570677
2021-02-24,489933
2021-02-25,510357
2021-02-26,472723
2021-03-01,456679
2021-03-02,464133
2021-03-03,465311
2021-03-04,694628
2021-03-05,573168
2021-03-08,533376
2021-03-09,554564
2021-03-10,498488
2021-03-11,441063
2021-03-12,321714
2021-03-15,378009
2021-03-16,317537
2021-03-17,254724
2021-03-18,143597
2021-03-19,84171
2021-03-22,28263
2021-03-23,712317
2021-03-24,566291
2021-03-25,580105
2021-03-26,471996
2021-03-29,449360
2021-03-30,388188
2021-03-31,414162
2021-04-01,605567
2021-04-02,605567
2021-04-05,438864
2021-04-06,457348
2021-04-07,475537
2021-04-08,419913
2021-04-09,351436
2021-04-12,410218
2021-04-13,349733
2021-04-14,419813
2021-04-15,243370
2021-04-16,87795
2021-04-19,74384
2021-04-20,33035
2021-04-21,431486
2021-04-22,344700
2021-04-23,345407
2021-04-26,366865
2021-04-27,361536
2021-04-28,387683
2021-04-29,384489
2021-04-30,400515
2021-05-03,285969
2021-05-04,370208
2021-05-05,460066
2021-05-06,389214
2021-05-07,431417
2021-05-10,448337
2021-05-11,514949
2021-05-12,508519
2021-05-13,547691
2021-05-14,383749
2021-05-17,268476
2021-05-18,167348
2021-05-19,101902
2021-05-20,29619
2021-05-21,530831
2021-05-24,466647
2021-05-25,497394
2021-05-26,376207
2021-05-27,337542
2021-05-28,390461
2021-05-31,390461
2021-06-01,570985
2021-06-02,332995
2021-06-03,351367
2021-06-04,326250
2021-06-07,365621
2021-06-08,441302
2021-06-09,410820
2021-06-10,492464
2021-06-11,563575
2021-06-14,319639
2021-06-15,336035
2021-06-16,426775
2021-06-17,373780
2021-06-18,139584
2021-06-21,123662
2021-06-22,29002
2021-06-23,429207
2021-06-24,334833
2021-06-25,364721
2021-06-28,354701
2021-06-29,321448
2021-06-30,383626
2021-07-01,615678
2021-07-02,377531
2021-07-05,377531
2021-07-06,714044
2021-07-07,607971
2021-07-08,529690
2021-07-09,422154
2021-07-12,397931
2021-07-13,444078
2021-07-14,528360
2021-07-15,368679
2021-07-16,133926
2021-07-19,82565
2021-07-20,29740
2021-07-21,503030
2021-07-22,435181
2021-07-23,274778
2021-07-26,395743
2021-07-27,333123
2021-07-28,318911
2021-07-29,294462
2021-07-30,303700
2021-08-02,448200
2021-08-03,509938
2021-08-04,582924
2021-08-05,416331
2021-08-06,537136
2021-08-09,598381
2021-08-10,452126
2021-08-11,513292
2021-08-12,352465
2021-08-13,272033
2021-08-16,334844
2021-08-17,235303
2021-08-18,121197
2021-08-19,88237
2021-08-20,24628
2021-08-23,397290
2021-08-24,335888
2021-08-25,353742
2021-08-26,344286
2021-08-27,326056
2021-08-30,360797
2021-08-31,325853
2021-09-01,399497
2021-09-02,403314
2021-09-03,313086
2021-09-06,313086
2021-09-07,481704
2021-09-08,389325
2021-09-09,556451
2021-09-10,411079
2021-09-13,390939
2021-09-14,414231
2021-09-15,418665
2021-09-16,298412
2021-09-17,119933
2021-09-20,75837
2021-09-21,37610
2021-09-22,381061
2021-09-23,403405
2021-09-24,350382
2021-09-27,417829
2021-09-28,476143
2021-09-29,424193
2021-09-30,583189
2021-10-01,388996
2021-10-04,458006
2021-10-05,449617
2021-10-06,459055
2021-10-07,545008
2021-10-08,662010
2021-10-11,653756
2021-10-12,598181
2021-10-13,487220
2021-10-14,399813
2021-10-15,277953
2021-10-18,134098
2021-10-19,82607
2021-10-20,25720
2021-10-21,567503
2021-10-22,465355
2021-10-25,568725
2021-10-26,467716
2021-10-27,529952
2021-10-28,491585
2021-10-29,507309
2021-11-01,412309
2021-11-02,429608
2021-11-03,546577
2021-11-04,701119
2021-11-05,531054
2021-11-08,393953
2021-11-09,504832
2021-11-10,555215
2021-11-11,475436
2021-11-12,390304
2021-11-15,343484
2021-11-16,325668
2021-11-17,174471
2021-11-18,83984
2021-11-19,30700
2021-11-22,465768
2021-11-23,506987
2021-11-24,328848
2021-11-25,328848
2021-11-26,844630
2021-11-29,675090
2021-11-30,722475
2021-12-01,602447
2021-12-02,668293
2021-12-03,449974
2021-12-06,401060
2021-12-07,496528
2021-12-08,464846
2021-12-09,393205
2021-12-10,397883
2021-12-13,406604
2021-12-14,359454
2021-12-15,294337
2021-12-16,142541
2021-12-17,78125
2021-12-20,36727
2021-12-21,358779
2021-12-22,306709
2021-12-23,270223
2021-12-24,270223
2021-12-27,268490
2021-12-28,249728
2021-12-29,283557
2021-12-30,231163
2021-12-31,237118
2022-01-03,317628
2022-01-04,372848
2022-01-05,397898
2022-01-06,476665
2022-01-07,414434
2022-01-10,389956
2022-01-11,481815
2022-01-12,420619
2022-01-13,364769
2022-01-14,364442
2022-01-17,364442
2022-01-18,163643
2022-01-19,113153
2022-01-20,30385
2022-01-21,509103
2022-01-24,511695
2022-01-25,507219
2022-01-26,459642
2022-01-27,427804
2022-01-28,436172
2022-01-31,359080
2022-02-01,376841
2022-02-02,456863
2022-02-03,465771
2022-02-04,410926
2022-02-07,497754
2022-02-08,467386
2022-02-09,445618
2022-02-10,492091
2022-02-11,554423
2022-02-14,467071
2022-02-15,442641
2022-02-16,401453
2022-02-17,212552
2022-02-18,150382
2022-02-21,150382
2022-02-22,40745
2022-02-23,440574
2022-02-24,872244
2022-02-25,523793
2022-02-28,490796
2022-03-01,698814
2022-03-02,651853
2022-03-03,592031
2022-03-04,493875
2022-03-07,576022
2022-03-08,583106
2022-03-09,594773
2022-03-10,437924
2022-03-11,368194
2022-03-14,344184
2022-03-15,401690
2022-03-16,293947
2022-03-17,210763
2022-03-18,74247
2022-03-21,77217
2022-03-22,22936
2022-03-23,289182
2022-03-24,307238
2022-03-25,320304
2022-03-28,372251
2022-03-29,387200
2022-03-30,284544
2022-03-31,450845
2022-04-01,324777
2022-04-04,288131
2022-04-05,280283
2022-04-06,366036
2022-04-07,367318
2022-04-08,310082
2022-04-11,315873
2022-04-12,329037
2022-04-13,312502
2022-04-14,244952
2022-04-15,244952
2022-04-18,68489
2022-04-19,71792
2022-04-20,17016
2022-04-21,280321
2022-04-22,233357
