,OXY,XOM,USGG10YR,USGG2YR,CL1,BSBYON,DXY,OPCRTOTL,OPECDALY,EURUSD,MRO,TIPX,SPIP,XOM,MRO,OXY,CL1
,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,LAST,VOLUME,VOLUME,VOLUME,VOLUME
2015-01-01,80.5774,92.45,2.1712,0.6645,53.27,,90.276,30302,52.0,1.2104,28.29,19.06,27.99,11337219,6082724,3555803,233516
2015-01-02,80.6174,92.83,2.1105,0.6647,52.69,,91.08,30302,51.78,1.2002,28.6,19.2052,28.25,10220410,5282315,3634610,268708
2015-01-05,77.6286,90.29,2.032,0.6568,50.04,,91.378,30302,48.87,1.1933,27.27,19.2215,28.185,18502381,7905134,6104730,375782
2015-01-06,76.9689,89.81,1.9402,0.625,47.93,,91.499,30302,46.57,1.189,26.86,19.19,28.205,16670713,11319995,6038092,451642
2015-01-07,76.9789,90.72,1.9677,0.6091,48.65,,91.89,30302,44.79,1.1839,27.19,19.1776,28.235,13590721,7213727,5475349,460083
2015-01-08,77.6586,92.23,2.0179,0.6051,48.79,,92.368,30302,45.68,1.1793,27.74,19.17,28.16,15487496,11658155,6734730,362081
2015-01-09,77.5087,92.1,1.9449,0.561,48.36,,91.935,30302,45.19,1.1842,27.65,19.27,28.225,14488415,9600672,5203863,421007
2015-01-12,74.9197,90.33,1.907,0.5449,46.07,,91.983,30302,43.55,1.1834,26.24,19.27,28.245,15176303,8148149,7127751,394946
2015-01-13,74.9397,90.0,1.9,0.5388,45.89,,92.31,30302,41.5,1.1773,25.89,19.27,28.18,17469028,10820389,7084487,476541
2015-01-14,75.4495,89.74,1.8553,0.5006,48.48,,92.161,30302,41.65,1.1789,25.96,19.27,28.335,23272056,10407592,7109842,510252
2015-01-15,75.9593,88.96,1.7149,0.4122,46.25,,92.352,30302,43.14,1.1633,25.47,19.37,28.59,18759590,6164984,7271531,478340
2015-01-16,78.0285,91.12,1.8368,0.4835,48.69,,92.52,30302,43.4,1.1567,26.6,19.4053,28.42,17713093,7354182,6564058,175626
2015-01-19,78.0285,91.12,1.8368,0.4835,48.69,,92.52,30302,43.87,1.1606,26.6,19.4053,28.42,17713093,7354182,6564058,175626
2015-01-20,77.9785,91.09,1.788,0.4914,46.39,,93.046,30302,43.04,1.155,25.94,19.4,28.49,16760994,7265754,5610811,49738
2015-01-21,79.208,91.87,1.8717,0.5074,47.78,,92.904,30302,43.25,1.161,26.59,19.31,28.345,14276380,6111928,4491715,340252
2015-01-22,78.8281,92.87,1.8631,0.5174,46.31,,94.077,30302,43.05,1.1366,26.83,19.31,28.345,13558953,6521339,5221583,426829
2015-01-23,78.8181,90.89,1.7968,0.4864,45.59,,94.762,30302,43.69,1.1204,26.52,19.44,28.575,14706313,6296591,4870102,374289
2015-01-26,80.2876,91.76,1.8241,0.5107,45.15,,94.802,30302,42.9,1.1238,27.27,19.43,28.515,10672507,5068004,3871352,310638
2015-01-27,79.3779,90.95,1.8231,0.5105,46.23,,94.022,30302,43.24,1.1381,26.97,19.43,28.59,12301462,6458451,4468033,313141
2015-01-28,76.4691,87.95,1.7207,0.4654,44.45,,94.467,30302,44.08,1.1287,25.55,19.45,28.755,17829700,7137674,6174824,365440
2015-01-29,78.2784,87.58,1.7512,0.5158,44.53,,94.782,30302,43.88,1.132,25.57,19.4402,28.655,22682981,7761757,6297638,300732
2015-01-30,79.9677,87.42,1.6407,0.4488,48.24,,94.804,30302,44.83,1.1291,26.6,19.63,28.905,22679947,9581106,9218097,454142
2015-02-02,80.1276,89.58,1.6642,0.4586,49.57,,94.504,30285,48.19,1.1341,27.9,19.57,28.895,20306347,11663232,7964109,511409
2015-02-03,82.1168,92.25,1.7915,0.5079,53.05,,93.6,30285,51.77,1.1481,28.79,19.52,28.72,21900857,12666462,7136836,644919
2015-02-04,80.8173,91.46,1.7513,0.4842,48.45,,93.986,30285,52.22,1.1345,27.98,19.5166,28.765,19632169,11043632,6871349,577515
2015-02-05,82.0868,92.36,1.8204,0.5198,50.48,,93.569,30285,50.81,1.1477,28.38,19.5499,28.635,12809028,7309666,5246950,596851
2015-02-06,81.717,91.5,1.9567,0.6435,51.69,,94.698,30285,53.36,1.1316,27.96,19.374,28.43,12331189,8563999,4681576,584976
2015-02-09,81.2272,91.56,1.9775,0.6517,52.86,,94.449,30285,53.58,1.1325,28.31,19.33,28.4,11360679,6373702,6582524,536364
2015-02-10,81.2772,91.01,1.9967,0.6499,50.02,,94.758,30285,53.14,1.1321,28.38,19.33,28.29,12952873,7840153,5630777,501701
2015-02-11,79.9477,90.6,2.0176,0.6642,48.84,,94.985,30285,52.21,1.1336,28.08,19.24,28.21,12240595,6472699,4827822,519272
2015-02-12,82.0069,92.37,1.9844,0.6242,51.21,,94.094,30285,52.86,1.1403,28.78,19.3,28.17,14842992,6066446,6010482,563662
2015-02-13,83.0764,93.37,2.0504,0.6411,52.78,,94.201,30285,55.97,1.1394,29.49,19.3,28.115,12060981,6615016,4523048,437072
2015-02-16,83.0764,93.37,2.0504,0.6411,52.78,,94.201,30285,56.43,1.1355,29.49,19.3,28.115,12060981,6615016,4523048,437072
2015-02-17,82.4967,93.05,2.1379,0.6615,53.53,,94.061,30285,56.69,1.1411,29.63,19.21,27.95,11758746,8148928,4490839,518799
2015-02-18,81.3371,91.01,2.08,0.597,52.14,,94.198,30285,56.83,1.1397,29.02,19.21,28.075,19177925,8283433,5191226,257476
2015-02-19,80.5774,89.44,2.1142,0.6174,51.16,,94.404,30285,56.29,1.1368,29.01,19.2399,28.03,19350556,10128358,4521458,125210
2015-02-20,80.0676,89.92,2.1117,0.6321,50.34,,94.253,30285,56.55,1.1381,28.47,19.29,28.03,15959865,9721418,3783058,30664
2015-02-23,79.7678,89.01,2.0574,0.6017,49.45,,94.569,30285,54.09,1.1335,28.54,19.19,28.105,12771790,6024597,3162337,475383
2015-02-24,79.7178,89.42,1.98,0.5529,49.28,,94.493,30285,53.54,1.134,28.83,19.19,28.28,9990726,6053522,2710934,293101
2015-02-25,80.1776,89.6,1.9688,0.6026,50.99,,94.213,30285,53.81,1.1361,29.06,19.3,28.35,9925652,5724517,2892413,429524
2015-02-26,78.2884,88.65,2.0295,0.6461,48.17,,95.292,30285,56.07,1.1198,28.0,19.35,28.33,13984008,7463173,4696394,459584
2015-02-27,77.8485,88.54,1.993,0.6184,49.76,,95.293,30285,56.83,1.1196,27.86,19.45,28.505,13090560,5419343,5123759,399494
2015-03-02,77.7086,88.04,2.082,0.6621,49.59,,95.462,30428,56.74,1.1184,27.67,19.4062,28.22,13793671,5838527,4456110,427177
2015-03-03,77.9785,87.62,2.1189,0.6782,50.52,,95.383,30428,55.94,1.1176,27.74,19.38,28.26,13493839,4665407,4275251,370597
2015-03-04,78.2984,87.18,2.1172,0.6546,51.53,,95.965,30428,55.82,1.1078,27.61,19.31,28.315,13467554,5752958,3216799,463989
2015-03-05,77.4587,86.74,2.1154,0.6389,50.76,,96.378,30428,55.77,1.103,27.34,19.31,28.265,12527581,4662835,3614559,370953
2015-03-06,74.7398,85.63,2.2414,0.7234,49.61,,97.615,30428,55.63,1.0844,26.78,19.17,27.95,16070466,5235027,5085374,406840
2015-03-09,74.7698,85.16,2.1907,0.6917,50.0,,97.588,30428,54.53,1.0852,26.3,19.122,27.885,14503802,6099562,3399917,409877
2015-03-10,73.7902,84.26,2.1297,0.6799,48.29,,98.618,30428,53.03,1.0698,25.82,19.14,27.935,17195460,6198909,4199367,395761
2015-03-11,74.23,84.02,2.1086,0.6802,48.17,,99.795,30428,52.25,1.0547,25.79,19.13,27.9722,13004655,7315215,3457784,404590
2015-03-12,74.5499,84.22,2.1156,0.6644,47.05,,99.435,30428,53.16,1.0635,25.61,19.161,27.925,10792898,6936281,4268762,358381
2015-03-13,72.8106,83.87,2.114,0.657,44.84,,100.33,30428,51.66,1.0496,25.78,19.082,27.8,16799920,6916434,6199662,395722
2015-03-16,73.0805,84.76,2.0717,0.6491,43.88,,99.604,30428,49.46,1.0568,26.01,19.12,27.825,13516235,5028376,5442558,367600
2015-03-17,72.3308,84.08,2.0507,0.6716,43.46,,99.585,30428,48.76,1.0597,25.56,19.08,27.87,12979713,5121565,3941507,346310
2015-03-18,73.9801,86.07,1.9199,0.5525,44.66,,98.55,30428,49.17,1.0864,26.34,19.2804,28.32,18745653,7257217,4181639,220638
2015-03-19,71.84100000000002,84.41,1.9685,0.6092,43.96,,99.26,30428,50.17,1.0659999999999998,25.69,19.2804,28.335,12738497,5958918,5466362,106907
2015-03-20,72.6906,84.54,1.9303,0.5812,45.72,,97.909,30428,49.93,1.0821,26.18,19.33,28.42,36083450,12289916,13407501,26768
2015-03-23,72.8306,85.43,1.912,0.5691,47.45,,97.033,30428,50.3,1.0946,25.91,19.33,28.395,17450685,6559244,3767487,292417
2015-03-24,72.4207,84.52,1.8731,0.557,47.51,,97.193,30428,50.92,1.0924,25.9,19.35,28.565,10174292,5937272,2861855,309553
2015-03-25,73.6902,84.86,1.925,0.6023,49.21,,96.979,30428,50.83,1.097,26.41,19.3923,28.505,11934737,6302718,4783441,398795
2015-03-26,73.7002,84.32,1.9894,0.6102,51.43,,97.436,30428,54.55,1.0884,26.38,19.33,28.355,14400695,7974141,4952509,515277
2015-03-27,72.6906,83.58,1.9615,0.5944,48.87,,97.291,30428,52.93,1.0889,25.9,19.335,28.36,11579299,5166877,3598985,384092
2015-03-30,73.9501,85.63,1.9475,0.5787,48.68,,97.975,30428,51.45,1.0833,26.43,19.29,28.285,15653170,5348781,3907040,355866
2015-03-31,72.9705,85.0,1.9231,0.5551,47.6,,98.357,31176,51.06,1.0731,26.11,19.36,28.35,13353990,5712692,4892869,365748
2015-04-01,74.21,84.46,1.8573,0.5355,50.09,,98.185,31176,52.48,1.0763,26.64,19.46,28.6,14522257,6806643,4429167,451104
2015-04-02,74.5199,84.3,1.9117,0.5396,49.14,,97.436,31176,52.93,1.088,27.07,19.31,28.45,11297401,8614182,5277579,423991
2015-04-03,74.5199,84.3,1.8389,0.4762,49.14,,96.545,31176,53.1,1.0969,27.07,19.31,28.45,11297401,8614182,5277579,423991
2015-04-06,76.4791,85.13,1.8952,0.496,52.14,,96.777,31176,53.2,1.0922,27.9,19.4899,28.56,10916434,7564760,6997452,325282
2015-04-07,76.779,85.75,1.8848,0.5159,53.98,,97.83,31176,54.61,1.0814,28.16,19.46,28.6394,11836065,6695524,4482065,548870
2015-04-08,76.5691,84.06,1.9047,0.5318,50.42,,97.94,31176,54.28,1.0781,27.96,19.4,28.5494,16257095,7566568,5089682,552627
2015-04-09,77.7986,84.65,1.9596,0.5478,50.79,,99.155,31176,53.52,1.0659,28.77,19.4,28.45,13281833,9637294,4100857,449531
2015-04-10,78.4183,85.56,1.9473,0.556,51.64,,99.338,31176,54.04,1.0604,29.18,19.4,28.405,13372433,7650487,3338221,395135
2015-04-13,77.7086,85.34,1.9272,0.528,51.91,,99.49,31176,55.86,1.0567,28.9,19.4032,28.45,9880507,4685299,2654992,375534
2015-04-14,79.268,86.63,1.8985,0.512,53.29,,98.733,31176,55.91,1.0655,29.4,19.45,28.4985,15693825,6371449,4573449,431026
2015-04-15,81.4771,88.08,1.888,0.496,56.39,,98.319,31176,57.01,1.0684,30.7,19.49,28.585,15332834,10770967,6766474,508904
2015-04-16,81.3371,87.73,1.8897,0.4839,56.71,,97.415,31176,58.88,1.0761,30.7,19.5199,28.615,9570809,6356530,5510780,413134
2015-04-17,80.4975,86.93,1.8653,0.5081,55.74,,97.52,31176,59.52,1.0806,30.52,19.602,28.8,14430130,7920337,6579346,230623
2015-04-20,80.3375,87.24,1.8896,0.5202,56.38,,97.941,31176,59.5,1.0738,30.97,19.602,28.72,11593561,8873997,3881136,112382
2015-04-21,79.4179,86.88,1.9087,0.5162,55.26,,98.004,31176,58.84,1.0736,30.13,19.602,28.64,10100460,6408825,2982318,29604
2015-04-22,79.5578,87.46,1.9788,0.5446,56.16,,97.932,31176,58.09,1.0725,30.35,19.45,28.4646,8663587,5596261,3466230,329631
2015-04-23,80.0077,87.54,1.9577,0.5284,57.74,,97.278,31176,59.14,1.0824,30.55,19.52,28.555,9866129,5402398,3425361,415569
2015-04-24,79.7378,86.97,1.9086,0.5041,57.15,,96.922,31176,60.95,1.0873,30.33,19.51,28.69,8405737,6156808,3432011,328322
2015-04-27,79.3979,87.01,1.9208,0.5163,56.99,,96.765,31176,61.06,1.0891,30.41,19.58,28.685,10534606,5194204,4671104,250558
2015-04-28,79.6678,87.8,2.0034,0.561,57.06,,96.092,31176,60.41,1.0981,30.72,19.49,28.51,9633764,5709677,2747615,281864
2015-04-29,80.0776,87.87,2.0388,0.557,58.58,,95.209,31176,60.92,1.1128,31.19,19.45,28.415,12534119,6831007,3929699,411097
2015-04-30,80.0676,87.37,2.0317,0.5670000000000001,59.63,,94.6,31392,62.21,1.1224,31.1,19.5,28.515,13947730,6826177,3855225,340322
2015-05-01,80.4675,88.85,2.1135,0.595,59.15,,95.297,31392,62.23,1.1199,30.77,19.5,28.345,12257076,5367544,3351709,244753
2015-05-04,79.9977,89.11,2.144,0.5991,58.93,,95.48,31392,62.85,1.1146,31.08,19.4,28.22,10343675,8658230,2778351,215046
2015-05-05,78.5882,88.61,2.1853,0.623,60.4,,95.076,31392,63.62,1.1185,29.97,19.37,28.23,11895027,9686976,4876624,389743
2015-05-06,79.3879,88.19,2.2431,0.6351,60.93,,94.087,31392,64.96,1.1347,29.81,19.37,28.0,11273450,8453917,6801009,423583
2015-05-07,77.5786,87.6,2.18,0.6313,58.94,,94.635,31392,63.98,1.1267,28.92,19.37,28.1399,9992451,11315649,6703303,437022
2015-05-08,77.8685,88.99,2.1478,0.5719,59.39,,94.794,31392,62.44,1.1199,29.31,19.37,28.2,11390293,10442665,6213059,434575
2015-05-11,76.649,86.78,2.2797,0.616,59.25,,95.011,31392,62.03,1.1155,28.4,19.22,27.935,11997787,9064570,4985753,332694
2015-05-12,76.649,87.02,2.2489,0.5961,60.75,,94.534,31392,62.49,1.1213,28.39,19.22,27.975,9788887,6300824,4101038,397345
2015-05-13,76.1392,86.56,2.2926,0.5762,60.5,,93.617,31392,63.77,1.1354,28.15,19.22,27.895,8629433,6561320,3524789,426835
2015-05-14,76.2592,86.97,2.2301,0.5441,59.88,,93.457,31392,63.13,1.141,27.62,19.29,27.965,8791275,7124847,2457982,361432
2015-05-15,76.809,87.35,2.1424,0.5363,59.69,,93.135,31392,62.74,1.1451,27.68,19.4,28.155,8422209,5156624,2724745,222089
2015-05-18,77.2088,86.85,2.2337,0.5767,59.43,,94.221,31392,62.98,1.1315,27.71,19.34,27.9924,6395354,6184794,3209162,144389
2015-05-19,75.8094,86.99,2.2886,0.6133,57.26,,95.267,31392,61.11,1.115,27.33,19.29,27.8727,9777078,5971008,5170806,30298
2015-05-20,76.589,87.13,2.2479,0.585,58.98,,95.448,31392,60.91,1.1094,27.46,19.32,27.945,7276571,5643401,3627559,287129
2015-05-21,76.9189,87.21,2.1898,0.573,60.72,,95.255,31392,61.86,1.1112,28.18,19.32,28.066,8357353,7370098,3460102,329765
2015-05-22,76.9789,86.52,2.2092,0.6142,59.72,,96.014,31392,62.03,1.1013,28.09,19.34,28.095,7598432,6049846,3740877,230307
2015-05-25,76.9789,86.52,2.2092,0.6142,59.72,,96.014,31392,61.18,1.0978,28.09,19.34,28.095,7598432,6049846,3740877,230307
2015-05-26,76.689,85.35,2.139,0.6123,58.03,,97.299,31392,60.73,1.0873,27.68,19.36,28.13,11288963,6098633,5200648,330128
2015-05-27,76.789,85.11,2.1285,0.6485,57.51,,97.371,31392,60.43,1.0904,27.58,19.33,28.085,10778275,5114402,4090261,314917
2015-05-28,77.6986,85.11,2.1355,0.6289,57.68,,96.965,31392,59.33,1.0949,27.22,19.32,28.078000000000007,8038943,4732475,4787805,340682
2015-05-29,78.1584,85.2,2.1214,0.6053,60.3,,96.907,31392,60.47,1.0986,27.19,19.32,28.175,14631316,5264155,6049098,452222
2015-06-01,78.8581,85.13,2.1794,0.6447,60.2,,97.392,31270,60.46,1.0927,27.09,19.3,28.035,9077512,4985698,5066495,292189
2015-06-02,79.4079,85.14,2.2624,0.6527,61.26,,95.835,31270,62.26,1.1151,27.08,19.3,27.895,9328322,8556262,5438433,344508
2015-06-03,78.3383,84.95,2.3642,0.6725,59.64,,95.465,31270,61.49,1.1275,27.08,19.16,27.6999,8179540,5054155,4171026,371298
2015-06-04,77.2688,84.22,2.307,0.6607,58.0,,95.461,31270,59.61,1.1238,26.65,19.16,27.785,12607257,4377668,4749181,363345
2015-06-05,79.058,84.28,2.4076,0.7087,59.13,,96.306,31270,58.61,1.1114,26.95,19.17,27.725,11388508,5321695,5369633,461016
2015-06-08,77.1988,84.85,2.3824,0.6808,58.14,,95.299,31270,59.42,1.1291,26.58,19.1731,27.7202,12244688,4698169,4815541,339845
2015-06-09,77.4487,84.58,2.4384,0.7169,60.14,,95.166,31270,60.27,1.1283,26.73,19.16,27.645,8105514,3281219,4066939,405486
2015-06-10,78.7982,85.21,2.4838,0.725,61.43,,94.646,31270,62.41,1.1324,27.06,19.12,27.5501,10147049,3405668,4643648,459765
2015-06-11,78.8581,85.09,2.3772,0.7131,60.77,,94.976,31270,62.14,1.1258,26.93,19.17,27.695,7759265,4144692,3355602,352421
2015-06-12,77.7486,84.02,2.3918,0.7256,59.96,,94.972,31270,61.17,1.1266,26.49,19.2,27.73,8347341,4453876,3671322,246898
2015-06-15,77.4187,83.72,2.3559,0.7015,59.52,,94.81,31270,60.17,1.1283,26.44,19.18,27.8038,9563933,4643396,3037094,275187
2015-06-16,78.4783,84.68,2.3093,0.6855,59.97,,94.999,31270,60.08,1.1248,26.72,19.3,27.97,9100116,3288273,3747297,233935
2015-06-17,78.7682,84.73,2.3165,0.6492,59.92,,94.296,31270,60.27,1.1337,26.54,19.35,27.9781,9090188,3478142,4163755,396155
2015-06-18,79.068,85.48,2.3345,0.6331,60.45,,94.042,31270,60.56,1.1359,26.53,19.32,27.93,10247825,3904190,4335143,181875
2015-06-19,77.9385,85.21,2.2577,0.6169,59.61,,94.085,31270,59.98,1.1352,25.92,19.34,28.035,16129576,8063667,5622169,116656
2015-06-22,78.7582,85.17,2.3725,0.6575,59.68,,94.329,31270,59.36,1.1341,26.12,19.2802,27.845,9465144,3382905,3588745,26743
2015-06-23,79.3679,85.07,2.4087,0.6779,61.01,,95.432,31270,59.96,1.1167,26.61,19.25,27.805,10223910,4661640,4640647,336224
2015-06-24,79.288,84.68,2.3672,0.6802,60.27,,95.264,31270,60.68,1.1205,26.61,19.27,27.89,11800118,7571859,3859749,312985
2015-06-25,78.4983,83.93,2.4088,0.688,59.7,,95.187,31270,59.58,1.1205,26.81,19.23,27.84,10259382,10990806,4245391,222341
2015-06-26,79.178,83.86,2.4726,0.7117,59.63,,95.472,31270,59.14,1.1167,27.75,19.21,27.715,19023328,18316778,5961558,231957
2015-06-29,77.3387,82.82,2.3242,0.6329,58.33,,94.79,31270,58.24,1.1236,26.69,19.31,27.925,11739236,13296352,4893559,286035
2015-06-30,77.7386,83.2,2.3531,0.6427,59.47,,95.485,32349,58.79,1.1147,26.54,19.31,27.865,14981145,8528994,4075201,282475
2015-07-01,75.9193,82.37,2.4219,0.6882,56.96,,96.31,32349,59.81,1.1053,25.79,19.23,27.765,13529076,8710892,4242691,373405
2015-07-02,75.6994,83.14,2.3823,0.627,56.93,,96.113,32349,59.31,1.1084,25.73,19.29,27.865,9187997,6216178,3007405,297050
2015-07-03,75.6994,83.14,2.3823,0.627,56.93,,96.113,32349,58.35,1.1114,25.73,19.29,27.865,9187997,6216178,3007405,297050
2015-07-06,73.8701,82.53,2.285,0.5892,52.53,,96.298,32349,55.79,1.1056,25.12,19.33,28.005,11694425,6449161,4217406,540608
2015-07-07,74.17,82.87,2.2582,0.5852,52.33,,96.865,32349,54.25,1.1011,25.71,19.37,28.115,15641535,8451085,4818491,527267
2015-07-08,72.5107,81.97,2.1922,0.5414,51.65,,96.294,32349,53.78,1.1077,24.73,19.39,28.12,10056994,7133538,3446601,434752
2015-07-09,73.0905,81.6,2.3211,0.5851,52.78,,96.606,32349,55.54,1.1036,24.78,19.35,27.95,11980543,9405643,3554510,382334
2015-07-10,73.2804,82.22,2.3972,0.637,52.74,,96.025,32349,55.99,1.1162,24.46,19.26,27.78,8628659,6841803,3371934,349075
2015-07-13,73.4203,82.42,2.4538,0.6772,52.2,,96.858,32349,55.23,1.1002,24.73,19.2,27.72,8026658,5953261,3107747,359477
2015-07-14,74.25,83.11,2.401,0.637,53.04,,96.643,32349,54.55,1.1009,25.08,19.2299,27.77,9310155,9034293,3365223,422756
2015-07-15,73.0605,82.76,2.3521,0.625,51.41,,97.166,32349,54.94,1.095,24.4,19.23,27.825,9289210,8365105,4156152,334563
2015-07-16,72.4707,82.91,2.3503,0.6552,50.91,,97.668,32349,54.23,1.0875,24.27,19.26,27.87,8267647,6633980,4419937,319167
2015-07-17,71.8909,82.61,2.3469,0.6655,50.89,,97.862,32349,53.99,1.083,23.57,19.24,27.85,12156000,6230565,4105193,203485
2015-07-20,70.2316,81.76,2.3723,0.7061,50.15,,98.029,32349,53.79,1.0825,23.24,19.2,27.78,12957060,8700442,5402149,102597
2015-07-21,70.1916,81.66,2.3253,0.6778,50.36,,97.328,32349,53.57,1.0935,23.17,19.24,27.8401,8677069,9206213,4008964,23126
2015-07-22,69.4419,81.79,2.3235,0.7063,49.19,,97.598,32349,53.45,1.0929,22.34,19.239,27.886,13181463,11190205,4960359,347986
2015-07-23,69.6618,81.14,2.2677,0.6942,48.45,,97.115,32349,53.04,1.0984,22.1,19.24,27.92,10496096,12028965,3708043,316060
2015-07-24,68.3924,79.94,2.2624,0.6781,48.14,,97.244,32349,52.08,1.0984,21.41,19.2,27.905,14888464,13124596,4836538,278233
2015-07-27,67.7326,79.26,2.2175,0.6495,47.39,,96.502,32349,51.3,1.1088,20.69,19.2499,27.945,14996094,9136991,6065562,273614
2015-07-28,69.5919,82.48,2.2499,0.6679999999999999,47.98,,96.772,32349,50.55,1.106,21.2,19.218,27.915,19777278,11840497,5107938,338107
2015-07-29,70.8314,83.14,2.2859,0.7038,48.79,,96.976,32349,50.83,1.0984,21.76,19.22,27.875,13913768,12555698,5591665,366893
2015-07-30,71.3712,83.01,2.2589,0.7275,48.52,,97.56,32349,51.46,1.0932,21.86,19.22,27.95,11139943,8454783,4943627,247662
2015-07-31,70.1716,79.21,2.1801,0.6606,47.12,,97.336,32088,50.51,1.0984,21.01,19.27,28.02,26232661,8947522,4917084,334474
2015-08-03,69.372,78.06,2.148,0.6646,45.17,,97.494,32088,48.4,1.095,20.57,19.25,28.045,15767743,11247452,3998870,371085
2015-08-04,69.0021,77.17,2.2213,0.7322,45.74,,97.931,32088,47.9,1.0881,20.51,19.15,27.895,18874419,9375615,3649707,285786
2015-08-05,68.6323,77.17,2.2699,0.7263,45.15,,97.958,32088,47.89,1.0906,19.79,19.11,27.79,16544386,16224049,3938580,367326
2015-08-06,69.392,78.09,2.2214,0.7006,44.66,,97.833,32088,47.09,1.0925,19.45,19.1,27.815,13005213,21784230,5514077,360977
2015-08-07,68.7522,76.83,2.1623,0.7169,43.87,,97.563,32088,46.95,1.0967,18.4,19.19,27.9151,12187623,11654683,3206723,400070
2015-08-10,71.2512,78.75,2.2269,0.721,44.96,,97.159,32088,47.32,1.1019,18.98,19.19,27.86,14876012,11948231,4478096,491433
2015-08-11,71.4511,77.49,2.1409,0.6729999999999999,43.08,,97.29,32088,47.66,1.1042,18.88,19.24,27.99,14486353,14193459,5104438,538005
2015-08-12,73.7002,78.79,2.148,0.6651,43.3,,96.262,32088,47.09,1.1159,19.06,19.24,27.91,16909190,12535423,8084126,492271
2015-08-13,72.9005,78.65,2.1854,0.7073,42.23,,96.445,32088,47.29,1.115,18.02,19.15,27.835,13154102,10108918,7357650,420146
2015-08-14,73.3703,78.36,2.1977,0.7218,42.5,,96.52,32088,46.62,1.1109,17.4,19.15,27.83,9129284,12877259,3204728,317211
2015-08-17,73.7102,78.77,2.1678,0.7058,41.87,,96.806,32088,45.96,1.1078,17.36,19.15,27.84,9365433,15390949,4883817,314275
2015-08-18,73.7602,77.9,2.1925,0.718,42.62,,97.04,32088,45.77,1.1024,17.48,19.1199,27.735,9815315,8966238,3786019,200185
2015-08-19,72.1308,76.23,2.1256,0.6574,40.8,,96.359,32088,45.39,1.112,16.23,19.1,27.8774,17010104,19827051,5700831,107578
2015-08-20,70.4415,74.57,2.0679,0.6533,41.14,,95.98,32088,44.13,1.1242,16.13,19.16,27.89,17811205,14230906,4265601,24784
2015-08-21,69.232,72.13,2.0365,0.6128,40.45,,95.008,32088,43.0,1.1386,15.73,19.23,27.935,25488846,18816430,6091476,377181
2015-08-24,65.7034,68.72,2.0034,0.568,38.24,,93.332,32088,40.67,1.1619,14.39,19.24,27.805,35531225,22372795,10491124,468366
2015-08-25,65.7234,68.71,2.0714,0.6005,39.31,,94.53,32088,40.47,1.1517,14.04,19.18,27.74,30409744,13423435,8425477,375650
2015-08-26,67.1229,72.5,2.1752,0.672,38.6,,95.1,32088,40.51,1.1314,14.65,19.07,27.5424,34436044,13567343,7990193,368722
2015-08-27,70.5315,74.85,2.1841,0.6878,42.56,,95.61,32088,42.37,1.1246,15.97,19.18,27.68,24570983,22410518,8175571,533682
2015-08-28,71.811,75.07,2.1807,0.7156,45.22,,96.106,32088,45.19,1.1185,16.65,19.22,27.785,18997331,21004838,6653703,666328
2015-08-31,72.9805,75.24,2.2179,0.7375,49.2,,95.824,32161,47.01,1.1211,17.29,19.32,27.77,19570103,18458604,7338513,757503
2015-09-01,69.9817,72.08,2.1524,0.7040000000000001,45.41,,95.45,32161,47.8,1.1315,16.85,19.2,27.735,24092930,17820406,7094487,713418
2015-09-02,71.0513,73.23,2.1843,0.7081,46.25,,95.828,32161,45.56,1.1227,16.87,19.2,27.6,16936898,14667757,5666250,689301
2015-09-03,70.8314,73.79,2.1596,0.6923,46.75,,96.405,32161,47.4,1.1123,16.87,19.2,27.6183,13451867,13572489,4740538,539450
2015-09-04,69.6219,72.46,2.1244,0.7067,46.05,,96.229,32161,46.83,1.1149,16.36,19.19,27.6749,14902476,15418923,4580035,385631
2015-09-07,69.6219,72.46,2.1244,0.7067,46.05,,96.229,32161,45.59,1.117,16.36,19.19,27.6749,14902476,15418923,4580035,385631
2015-09-08,69.4719,73.5,2.1828,0.7327,45.94,,95.985,32161,45.38,1.1203,16.32,19.0643,27.5547,13626907,13710952,5321760,508815
2015-09-09,67.6127,72.0,2.2006,0.7409,44.15,,96.012,32161,45.96,1.1207,14.91,19.0643,27.585,17246222,33904145,4225807,422735
2015-09-10,67.7126,72.52,2.222,0.733,45.92,,95.456,32161,44.83,1.128,14.98,19.1,27.605,12353853,18710395,4474067,498992
2015-09-11,66.873,72.69,2.1883,0.7053,44.63,,95.194,32161,44.64,1.1338,15.09,19.106,27.65,12172259,15640604,5637426,395838
2015-09-14,66.1633,72.49,2.1831,0.7256,44.0,,95.246,32161,43.85,1.1317,15.41,19.106,27.67,10738538,15451813,3878540,326269
2015-09-15,66.723,72.86,2.2867,0.8024,44.59,,95.611,32161,43.13,1.1269,15.45,19.03,27.44,11979773,15514006,4761080,335953
2015-09-16,68.3624,74.3,2.294,0.8108,47.15,,95.42,32161,44.57,1.129,16.21,19.04,27.415,15214174,16637133,5134914,421981
2015-09-17,68.3124,74.46,2.1903,0.6795,46.9,,94.55,32161,45.1,1.1435,16.43,19.01,27.645,15603018,19681502,5801751,366390
2015-09-18,66.813,72.68,2.1336,0.6777,44.68,,94.863,32161,44.34,1.1298,15.84,19.19,27.73,23180160,26980002,6138511,211301
