,XOM,MRO,OXY
2015-08-24,35531225,22372795,10491124
2015-08-25,30409744,13423435,8425477
2015-08-26,34436044,13567343,7990193
2015-08-27,24570983,22410518,8175571
2015-08-28,18997331,21004838,6653703
2015-08-31,19570103,18458604,7338513
2015-09-01,24092930,17820406,7094487
2015-09-02,16936898,14667757,5666250
2015-09-03,13451867,13572489,4740538
2015-09-04,14902476,15418923,4580035
2015-09-07,14902476,15418923,4580035
2015-09-08,13626907,13710952,5321760
2015-09-09,17246222,33904145,4225807
2015-09-10,12353853,18710395,4474067
2015-09-11,12172259,15640604,5637426
2015-09-14,10738538,15451813,3878540
2015-09-15,11979773,15514006,4761080
2015-09-16,15214174,16637133,5134914
2015-09-17,15603018,19681502,5801751
2015-09-18,23180160,26980002,6138511
2015-09-21,10852972,13935333,3424926
2015-09-22,14245205,12251616,6193955
2015-09-23,13784836,12544982,3909010
2015-09-24,14584249,12053656,4369334
2015-09-25,15175317,13876852,5653486
2015-09-28,14571908,9936732,4811202
2015-09-29,13754439,10994768,4058534
2015-09-30,18176502,13709299,5168550
2015-10-01,14397814,14181283,5161529
2015-10-02,18811345,11643516,4839832
2015-10-05,18486731,17565654,4629036
2015-10-06,18757917,25583557,6591650
2015-10-07,18703210,26627425,7653000
2015-10-08,14344692,17094873,6135423
2015-10-09,17384670,14167958,5815557
2015-10-12,9931754,13787220,3293320
2015-10-13,12326598,10355556,3054765
2015-10-14,14485998,8545639,4263853
2015-10-15,13640875,9403822,5442610
2015-10-16,14304431,8146191,5191599
2015-10-19,14155779,9449503,4920879
2015-10-20,12340108,7885854,4464717
2015-10-21,10286440,8141830,3651576
2015-10-22,14823462,9018802,4261661
2015-10-23,13215678,8455285,4026512
2015-10-26,12576449,7277770,3858126
2015-10-27,13579364,11897209,4484862
2015-10-28,12473034,12690173,7533311
2015-10-29,10341163,16921256,4827064
2015-10-30,18758594,15400260,4684083
2015-11-02,21266523,10944587,4634650
2015-11-03,20115909,12060447,5243151
2015-11-04,14245441,9137098,4415161
2015-11-05,12291124,19123165,3953316
2015-11-06,12491678,15275250,3652464
2015-11-09,13551176,10110548,4096303
2015-11-10,14238006,8711069,4063886
2015-11-11,9598043,14112498,5102099
2015-11-12,16050638,10661215,3867145
2015-11-13,17527266,8965642,3690909
2015-11-16,14548134,9262093,4423031
2015-11-17,10011689,6618424,3348896
2015-11-18,10884594,11540253,3602303
2015-11-19,9453285,9794769,3755384
2015-11-20,10144448,8416880,3240858
2015-11-23,11868403,9373334,2492105
2015-11-24,15055512,11709507,4274639
2015-11-25,8980425,6276994,2949354
2015-11-26,8980425,6276994,2949354
2015-11-27,4156645,3696116,1415320
2015-11-30,17729175,11798439,5466227
2015-12-01,13916981,8820211,4660658
2015-12-02,16299981,11031658,6622359
2015-12-03,14870252,14461750,6962144
2015-12-04,20156434,10743011,8909597
2015-12-07,17676103,15175250,7639497
2015-12-08,24217600,18275122,7669139
2015-12-09,22036336,15728651,4973351
2015-12-10,20142376,10257654,5003785
2015-12-11,20473141,11234069,6358261
2015-12-14,21976535,14612613,6615373
2015-12-15,24366833,12972855,5330582
2015-12-16,17233853,15943233,5563722
2015-12-17,17362915,18589186,5748233
2015-12-18,28835969,27418602,7027355
2015-12-21,14460450,13683740,4534425
2015-12-22,13855761,9509734,5755295
2015-12-23,15184195,14590137,5647940
2015-12-24,5848311,5709480,2206369
2015-12-25,5848311,5709480,2206369
2015-12-28,9715843,9519539,3520340
2015-12-29,8838979,8141903,3503381
2015-12-30,9314646,9897906,3137124
2015-12-31,10285519,10140975,4618026
2016-01-01,10285519,10140975,4618026
2016-01-04,20400084,12667626,4777618
2016-01-05,11993500,9776980,4467973
2016-01-06,18826900,15837537,6740484
2016-01-07,21263761,20172902,6562615
2016-01-08,19033628,34056366,6203032
2016-01-11,21352955,22275284,9126177
2016-01-12,21864130,25506021,7996876
2016-01-13,26052729,26857652,7836353
2016-01-14,33806670,33825791,9582273
2016-01-15,28342063,39565456,7414443
2016-01-18,28342063,39565456,7414443
2016-01-19,22684537,29537160,7852015
2016-01-20,33300754,45467994,9785212
2016-01-21,22265576,37173900,7201507
2016-01-22,22530323,38960090,7590085
