,XOM,MRO,OXY
2017-10-23,9829896,8690537,3410558
2017-10-24,7551187,12140211,6594212
2017-10-25,9153318,11255916,6910348
2017-10-26,9154478,11090876,4454192
2017-10-27,14866246,9057961,5064265
2017-10-30,7811142,18830332,4371611
2017-10-31,9754213,13880305,5235118
2017-11-01,9429983,17084309,6184177
2017-11-02,7775467,22530148,7875764
2017-11-03,6903526,17527056,6370511
2017-11-06,9276669,23687448,3986193
2017-11-07,8471825,17796789,3306510
2017-11-08,8691551,18182248,4635571
2017-11-09,10528803,13248795,2973928
2017-11-10,8693652,11447588,3493991
2017-11-13,6720400,9103704,3682367
2017-11-14,9251742,14720666,4178263
2017-11-15,9663606,13358198,4881537
2017-11-16,10527200,14253342,3595945
2017-11-17,9536383,10747254,5513692
2017-11-20,8468631,14094732,4157569
2017-11-21,8838367,11689607,2972635
2017-11-22,7941632,20262840,2696090
2017-11-23,7941632,20262840,2696090
2017-11-24,3851283,6794234,1596187
2017-11-27,9127527,11718222,8203533
2017-11-28,9794574,11013151,4807513
2017-11-29,9724992,10057448,5105310
2017-11-30,18592679,18675271,6525708
2017-12-01,13779254,18223492,4972592
2017-12-04,12597705,13136865,3678196
2017-12-05,9357185,14085702,2723755
2017-12-06,13398866,10756646,3304856
2017-12-07,11359598,7961454,3813135
2017-12-08,11988633,8441696,3063764
2017-12-11,8760735,10294757,2855752
2017-12-12,11307030,10990062,6178724
2017-12-13,10172650,14765400,3985824
2017-12-14,9492394,9192254,5522587
2017-12-15,26582332,16611347,7554041
2017-12-18,9363466,13875717,3092289
2017-12-19,10285052,14504545,4198199
2017-12-20,10620305,13842507,2844156
2017-12-21,13578133,15603162,2902364
2017-12-22,10161447,9381947,5465751
2017-12-25,10161447,9381947,5465751
2017-12-26,4777216,9356686,2214391
2017-12-27,7000612,7509808,2237532
2017-12-28,7495254,8274650,1682774
2017-12-29,8523411,7122692,3181641
2018-01-01,8523411,7122692,3181641
2018-01-02,11469254,8107020,2829956
2018-01-03,13957739,10684677,3463407
2018-01-04,10863030,14052092,2706051
2018-01-05,11047571,11962183,3240275
2018-01-08,10927088,7096781,3174577
2018-01-09,8131631,12120455,2985147
2018-01-10,10822328,7921869,4094333
2018-01-11,14366028,13189720,5061075
2018-01-12,9834511,10312221,5781137
2018-01-15,9834511,10312221,5781137
2018-01-16,10882786,13872546,4333089
2018-01-17,10545961,19818169,3109926
2018-01-18,9223679,10145137,3012402
2018-01-19,13090032,7614689,3224752
2018-01-22,10270380,13343213,4309443
2018-01-23,10281817,11965002,3313985
2018-01-24,10316111,11367172,3356098
2018-01-25,11271867,9251595,2468719
2018-01-26,10514408,8947447,2345884
2018-01-29,9315696,7613634,3014770
2018-01-30,12407974,12467494,4415223
2018-01-31,14404736,9760274,4626137
2018-02-01,17971012,9494424,3165336
2018-02-02,29822144,10885077,5505047
2018-02-05,30452693,15320078,5786781
2018-02-06,36262761,16059039,5616417
2018-02-07,21994450,17435450,5630286
2018-02-08,25650789,15091086,7126269
2018-02-09,29491592,17712221,5440264
2018-02-12,19340419,15792415,3951715
2018-02-13,11926610,8344398,4519843
2018-02-14,17188405,14150091,8007764
2018-02-15,14432424,28950225,5020812
2018-02-16,13722431,17797975,5793646
2018-02-19,13722431,17797975,5793646
2018-02-20,13387346,22272620,5107948
2018-02-21,11714985,16923664,5113629
2018-02-22,14020186,18251556,3785333
2018-02-23,13378795,13864993,3854662
2018-02-26,16940419,13662212,7385607
2018-02-27,14629517,12587922,6623649
2018-02-28,17087816,15725448,8149584
2018-03-01,15696665,13600310,5519323
2018-03-02,15630250,11468734,3752456
2018-03-05,14890975,12024009,4746913
2018-03-06,10754291,9045204,4435259
2018-03-07,27255463,8609635,4694166
2018-03-08,19299848,10863135,9402574
2018-03-09,19714061,8747156,12059707
2018-03-12,14226706,10335613,7821475
2018-03-13,13739675,15732246,4840251
2018-03-14,14820676,12526382,3466681
2018-03-15,15640605,10797980,3226136
2018-03-16,32109720,19356808,6189285
2018-03-19,12744781,9637731,4686207
2018-03-20,13003183,12136774,4877662
2018-03-21,15418459,16591062,4784762
2018-03-22,17737019,11604368,6320665
2018-03-23,20157333,11890897,6253712
2018-03-26,15032698,13256208,3938800
2018-03-27,15821908,10584878,5378631
2018-03-28,18163875,11221623,10391821
2018-03-29,14882885,11153849,7823482
2018-03-30,14882885,11153849,7823482
2018-04-02,17891083,10380676,6816447
2018-04-03,15999151,8402774,7485955
2018-04-04,13122170,8410330,6631880
2018-04-05,14199993,20987261,7941162
2018-04-06,14299567,12888998,6898770
2018-04-09,11103111,8334551,7918717
2018-04-10,19292201,11617497,8005143
2018-04-11,13733954,16953072,4999431
2018-04-12,13270354,13817632,4736767
2018-04-13,10924966,18106385,6321755
2018-04-16,10743642,13165948,5205572
2018-04-17,10478093,15749373,4187694
2018-04-18,12061415,30393235,4276327
2018-04-19,11291467,16333749,5457559
2018-04-20,12072220,11724401,5027932
2018-04-23,11729830,9203143,3220763
2018-04-24,14101979,11266324,4876792
2018-04-25,13867464,9692232,5583100
2018-04-26,14554442,12522362,3672126
2018-04-27,16346833,7276994,2901688
2018-04-30,15028835,18750446,3742391
2018-05-01,16231035,11228641,3895045
2018-05-02,13883683,11193934,3978290
2018-05-03,12243149,27319902,4773167
2018-05-04,9887192,16161632,2975010
2018-05-07,15071534,19009072,5105419
2018-05-08,17430440,18752177,7159965
2018-05-09,17142097,21226651,11029957
2018-05-10,17710327,13150870,5741221
2018-05-11,14751042,9325967,6621328
2018-05-14,11852098,12014739,6459553
2018-05-15,12595736,11199008,4637342
2018-05-16,9569958,9687684,5235656
2018-05-17,11224123,10013474,4935457
2018-05-18,10030931,7895513,3498594
2018-05-21,8822364,10459922,5806073
2018-05-22,10753428,12205653,3827440
2018-05-23,15140896,10617529,3507337
2018-05-24,13360454,12430820,3319344
2018-05-25,14561988,14058722,4152080
2018-05-28,14561988,14058722,4152080
2018-05-29,14644813,9384920,4130632
2018-05-30,16627467,9503358,3781020
2018-05-31,15803095,12862507,4861137
2018-06-01,9906117,12991795,4940156
2018-06-04,10954709,12122553,4312027
2018-06-05,12059328,12466590,6391030
2018-06-06,11603278,11156286,6534344
2018-06-07,13502457,8306422,7228953
2018-06-08,14350376,8879296,5533220
2018-06-11,10831599,10121701,5813427
2018-06-12,12351787,10768772,6053580
2018-06-13,12049278,11237962,4401642
2018-06-14,11477252,9308231,3675563
2018-06-15,23797456,22233950,7476915
2018-06-18,9192567,14895335,5247191
2018-06-19,8759708,11348614,5426962
2018-06-20,8917708,11199095,4452497
2018-06-21,10990663,14464610,4997353
2018-06-22,16707364,19248347,5699085
2018-06-25,10557249,13759744,3780329
2018-06-26,10382781,14072706,3925592
2018-06-27,12725864,14707143,5131817
2018-06-28,9390654,13084851,3507099
2018-06-29,17323207,13396238,3849695
2018-07-02,9998318,12467428,3091306
2018-07-03,7197258,8530142,2978893
2018-07-04,7197258,8530142,2978893
2018-07-05,9035873,8940090,3670183
2018-07-06,7637116,9373057,2801072
2018-07-09,7158596,11746371,3001602
2018-07-10,8806167,15721456,4601458
2018-07-11,10405268,11158902,5109416
2018-07-12,9762532,8909015,4694091
2018-07-13,8721525,8273929,4723923
2018-07-16,8307109,23620088,3661671
2018-07-17,7373347,11575691,3476131
2018-07-18,8711884,17404629,3827000
2018-07-19,8659127,12557758,3495475
2018-07-20,9209376,11074867,3147194
2018-07-23,8425921,7610487,3328216
2018-07-24,11120967,6548613,7053068
2018-07-25,9730668,6775325,4623224
2018-07-26,13210099,7528128,4169160
2018-07-27,18223602,8492355,2787348
2018-07-30,11282875,8970087,3198908
2018-07-31,11716849,10416513,5069944
2018-08-01,8936719,12619181,3417586
2018-08-02,8364294,15249539,3355720
2018-08-03,7811180,13441689,3281573
2018-08-06,10041825,9921551,3224184
2018-08-07,10698498,10473868,3933400
2018-08-08,7275062,10732735,4539360
2018-08-09,9828499,8366903,14625180
2018-08-10,12954268,5786055,8380585
2018-08-13,10308844,7071506,6056022
2018-08-14,8005941,7967141,5701555
2018-08-15,16307784,16138194,6489462
2018-08-16,11519944,10360454,5470610
2018-08-17,10178657,10455213,4795120
2018-08-20,8152096,7269201,3119024
2018-08-21,9192229,7817435,3282375
2018-08-22,10098237,10280347,2948908
2018-08-23,7203899,6363302,2313636
2018-08-24,6545216,10284908,2580762
2018-08-27,6671872,6251336,2242062
2018-08-28,8823352,10588163,3173182
2018-08-29,8004792,17308302,3149751
2018-08-30,7450853,11242105,3216602
2018-08-31,10700016,7197175,3227761
2018-09-03,10700016,7197175,3227761
2018-09-04,8855027,6978148,5131583
2018-09-05,13878418,10397266,3851040
2018-09-06,13320645,12790973,4084214
2018-09-07,16417783,6896200,3317648
2018-09-10,10817918,5881100,2732136
2018-09-11,11891917,9748678,4164676
2018-09-12,11556657,8681000,5535723
2018-09-13,11162714,7607410,7684714
2018-09-14,9442579,8089131,4672685
2018-09-17,8403325,5858075,3000579
2018-09-18,9219890,8904846,3789670
2018-09-19,10413591,8008993,3785027
2018-09-20,11198171,7970079,3752941
2018-09-21,26639437,11655285,8386063
2018-09-24,13549454,17304588,4700621
2018-09-25,12200690,13944017,5316270
2018-09-26,10275498,13096259,4221418
2018-09-27,7895430,10788672,5241429
2018-09-28,9884941,11899435,6414567
2018-10-01,8568210,14321932,4169550
2018-10-02,8453138,9888603,3474172
2018-10-03,10206722,12575947,3871172
2018-10-04,10204586,10949500,3960669
2018-10-05,9217393,9526936,3254515
2018-10-08,13242364,7871062,5287692
2018-10-09,10177885,9196075,3328606
2018-10-10,16573426,16397060,5059169
2018-10-11,20320055,22326072,5673770
2018-10-12,15216300,15494854,4274524
2018-10-15,10558752,11811242,9755664
2018-10-16,9781778,12526938,7987456
2018-10-17,12247748,9543955,5399189
2018-10-18,17448566,9053983,5417243
2018-10-19,12098692,13550955,5693573
2018-10-22,9474105,10419262,4341273
2018-10-23,15465125,18252703,5664666
2018-10-24,16085735,18081329,7294193
2018-10-25,12315457,11616959,5413760
2018-10-26,18160517,11082797,6326689
2018-10-29,15707035,11731778,4507437
2018-10-30,17758234,14023427,4770725
2018-10-31,16629070,14835413,4994786
2018-11-01,14159250,12954014,6132732
2018-11-02,19350357,17873843,6663860
2018-11-05,15814958,10104830,7969792
2018-11-06,9063313,14573761,11077011
2018-11-07,12699787,19896469,5995343
2018-11-08,16865480,21615627,4441365
2018-11-09,15070124,17026279,6984136
2018-11-12,11906573,11315167,5204398
2018-11-13,15530229,21411319,5500406
2018-11-14,18552107,19490658,5873767
2018-11-15,18976021,14108063,4813067
2018-11-16,13704889,15480799,4761864
2018-11-19,9430819,10829900,5149566
2018-11-20,15533723,14425596,4476495
2018-11-21,9685726,12515407,4505480
2018-11-22,9685726,12515407,4505480
2018-11-23,10875425,7405061,3248759
2018-11-26,13741093,10699174,4534279
2018-11-27,10344600,13631676,5545863
2018-11-28,11482133,10034349,4660068
2018-11-29,10255232,9998417,3615158
2018-11-30,14040141,13260439,5947821
2018-12-03,19414847,15108429,5019100
2018-12-04,18540692,13177523,4455925
2018-12-05,18540692,13177523,4455925
2018-12-06,23218054,19130065,7532941
2018-12-07,16224694,21693595,5494595
2018-12-10,17946162,15896318,6135687
2018-12-11,15742418,21603928,6031165
2018-12-12,14559839,18043767,6621436
2018-12-13,13749746,13073872,6730366
2018-12-14,12669300,12708550,5090169
2018-12-17,15464117,13529514,5665565
2018-12-18,18681179,18485728,5804736
2018-12-19,21679608,14545320,6612059
2018-12-20,28723650,20450972,7295298
2018-12-21,47287319,24619848,12543038
2018-12-24,14262825,7147912,4131104
2018-12-25,14262825,7147912,4131104
2018-12-26,24887738,16234387,7171570
2018-12-27,22077044,12227235,6814700
2018-12-28,19710603,9668945,5029134
2018-12-31,15807007,9646866,5126217
2019-01-01,15807007,9646866,5126217
2019-01-02,16727246,10497083,5355297
2019-01-03,13866115,10915080,5465488
2019-01-04,16043642,14563501,6367400
2019-01-07,10844159,10186707,5771649
2019-01-08,11438966,12484826,5420133
2019-01-09,13473519,12816618,4515860
2019-01-10,13151117,13253774,4983319
2019-01-11,9790134,10834590,3894592
2019-01-14,11012361,10729557,6604004
2019-01-15,10298309,10065826,4499656
2019-01-16,12595640,15802413,4484523
2019-01-17,10141743,10236061,4767491
2019-01-18,15759166,11621094,4596497
2019-01-21,15759166,11621094,4596497
2019-01-22,15035601,13352919,4140821
2019-01-23,13187221,9966797,3730558
2019-01-24,11272716,7734244,4035302
2019-01-25,8998323,9403828,3476276
2019-01-28,13678449,7330965,3795305
2019-01-29,10513242,8009899,3887316
2019-01-30,11524722,9960579,3894155
2019-01-31,19876696,12572488,5914102
2019-02-01,22968697,12970321,5387236
2019-02-04,15483835,13278864,3250936
2019-02-05,12786736,7258778,2916307
2019-02-06,10866901,9737308,3205705
2019-02-07,14418911,13165628,4421734
2019-02-08,11959689,11329940,4651636
2019-02-11,10434911,11886028,5489526
2019-02-12,12599206,13141519,3903135
2019-02-13,13214556,25621097,7206240
2019-02-14,12773209,35969990,5701633
2019-02-15,14330339,16683487,6058118
2019-02-18,14330339,16683487,6058118
2019-02-19,13551469,11336295,5082878
2019-02-20,12633126,14394690,4017599
2019-02-21,10266012,10405080,4122728
2019-02-22,9519281,12132340,5035886
2019-02-25,9274378,13679919,3594632
2019-02-26,10990586,10659681,2764758
2019-02-27,12398206,9759438,2959262
2019-02-28,14597883,13445073,3856278
2019-03-01,15419422,11559910,3865999
2019-03-04,18090161,11720472,4198622
2019-03-05,13745465,9931486,3699215
2019-03-06,18633599,10385885,4453352
2019-03-07,16541732,11165805,3156911
2019-03-08,16211252,13041621,5581521
2019-03-11,11060876,10014488,3770211
2019-03-12,11320150,8681382,3195458
2019-03-13,10260235,9722456,2561593
2019-03-14,9976797,9602659,2446261
2019-03-15,25316599,12215336,5602916
2019-03-18,9840552,10376151,3256838
2019-03-19,13936496,9457735,3695462
2019-03-20,13133738,13052110,5112825
2019-03-21,10116958,12806802,5284635
2019-03-22,12497707,16337484,6138584
2019-03-25,11320386,11803835,6588636
2019-03-26,9473083,14592981,5885746
2019-03-27,7258729,7851445,3559787
2019-03-28,7412348,14927697,2522483
2019-03-29,10889251,9442604,3190433
2019-04-01,10816444,14543366,2809924
2019-04-02,7646036,11499566,3312365
2019-04-03,8562912,11452255,3056832
2019-04-04,9360593,6670661,2855715
2019-04-05,10059368,9184797,3808402
2019-04-08,9108518,9828418,2527661
2019-04-09,8561582,8182579,3301441
2019-04-10,10324305,8858174,3645798
2019-04-11,9115235,9147835,2956440
2019-04-12,16638655,11850756,10070587
2019-04-15,8536136,8834465,11793744
2019-04-16,7005715,11139270,11094214
2019-04-17,8311362,11885652,6553953
2019-04-18,9493885,9068989,8481040
2019-04-19,9493885,9068989,8481040
2019-04-22,10770596,19197174,5873957
2019-04-23,10595101,12840774,10307311
2019-04-24,11684021,12950174,28235244
2019-04-25,11135004,10285733,16502775
2019-04-26,18053468,10651664,10170806
2019-04-29,10023667,8335693,9112831
2019-04-30,13721521,9491389,24103883
2019-05-01,13909751,13709315,11084249
2019-05-02,15360385,28035154,18795097
2019-05-03,12180737,15721801,10790014
2019-05-06,13367124,10869488,25494837
2019-05-07,13498822,14874814,21567231
2019-05-08,11352859,12232789,17378525
2019-05-09,13221649,10373024,36678639
2019-05-10,11055957,9029506,17791442
2019-05-13,12176298,10308064,12890197
2019-05-14,10548424,9638432,7195467
2019-05-15,8918004,7123527,13684514
2019-05-16,8105630,9776165,10655209
2019-05-17,9279383,9007001,13991460
2019-05-20,7154620,10925947,9405527
2019-05-21,8490107,11141881,12046959
2019-05-22,7858317,12054027,13530510
2019-05-23,14657221,14136619,21382598
2019-05-24,7056566,8827397,14996818
2019-05-27,7056566,8827397,14996818
2019-05-28,14912925,8829963,8680698
2019-05-29,13645182,14676857,9055441
2019-05-30,9362146,12146343,16919034
2019-05-31,13983305,13256422,11162268
2019-06-03,11831255,12762868,11148502
2019-06-04,10423019,10045916,8835749
2019-06-05,10617831,17933914,18563843
2019-06-06,11738903,13406278,11660776
2019-06-07,9095481,11536265,11714296
2019-06-10,7760402,8306224,9861507
2019-06-11,9415134,8501089,12867823
2019-06-12,7921018,11110736,7644928
2019-06-13,8986427,12087876,8013702
2019-06-14,8575907,9028002,7779625
2019-06-17,9355715,10631760,7424563
2019-06-18,10091483,11841058,9473860
2019-06-19,9757390,9804574,8907745
2019-06-20,16229715,17483082,7389883
2019-06-21,23108130,13234057,10298485
2019-06-24,10012236,8721780,9648145
2019-06-25,9739970,9211829,4575055
2019-06-26,11365476,10871827,7025068
2019-06-27,8147803,7430860,5387233
2019-06-28,14781298,10205448,6752247
2019-07-01,11453769,9195870,7258514
2019-07-02,10475419,11176252,10160982
2019-07-03,5246096,6382781,4435150
2019-07-04,5246096,6382781,4435150
2019-07-05,6881115,7194585,5613218
2019-07-08,7876097,7711572,4740299
2019-07-09,7863026,7237247,7461201
2019-07-10,8077369,7363724,7594659
2019-07-11,6404194,5848768,6399567
2019-07-12,6139299,7002984,9102835
2019-07-15,7116356,9323210,10130607
2019-07-16,10197358,11432042,8790208
2019-07-17,7419314,12724133,7615260
2019-07-18,11425663,9858836,9689026
2019-07-19,11243310,9224067,7196257
2019-07-22,8370141,10073343,5997828
2019-07-23,8551205,7851838,5822580
2019-07-24,8260245,8340262,6096196
2019-07-25,9083914,8621641,6627412
2019-07-26,7677427,7039968,5452204
2019-07-29,7091889,9132843,6412060
2019-07-30,6961197,11972697,7420307
2019-07-31,13104592,9589585,12342283
2019-08-01,17132815,16134909,14069940
2019-08-02,21376742,14177756,12206940
2019-08-05,19080930,16870749,9977723
2019-08-06,12282362,13255323,13008033
2019-08-07,15231052,20579082,16686992
2019-08-08,14304052,20747187,23937095
2019-08-09,13686606,11947796,9879738
2019-08-12,9542598,10451522,13456351
2019-08-13,12438513,12005147,17643112
2019-08-14,18114362,14325840,16953357
2019-08-15,12874373,12160389,9352906
2019-08-16,12649037,10589472,8513844
2019-08-19,10032824,9857274,9851079
2019-08-20,9744252,8523875,7379147
2019-08-21,10134525,11897622,8500288
2019-08-22,8973175,7948208,5865883
2019-08-23,15373737,14135819,12546529
2019-08-26,7344634,8680270,8304224
2019-08-27,9494621,8011910,7322254
2019-08-28,9656818,9074733,7084699
2019-08-29,9004455,10028733,6651784
2019-08-30,9181055,9587364,6881895
2019-09-02,9181055,9587364,6881895
2019-09-03,9849840,10041713,6917730
2019-09-04,6973483,7214116,4838512
2019-09-05,9902285,11374808,9680122
2019-09-06,10418504,12410031,10958768
2019-09-09,12840418,12783045,11069776
2019-09-10,13810789,10453852,9770898
2019-09-11,10525669,11736300,7662923
2019-09-12,9100653,14044434,7403671
2019-09-13,7337194,7715677,11149355
2019-09-16,19830182,29418258,24116047
2019-09-17,14644957,20206145,15554177
2019-09-18,7375224,17022221,9875437
2019-09-19,8316785,12423388,10546468
2019-09-20,19862816,15789450,8621454
2019-09-23,7808263,9833713,7367969
2019-09-24,14306865,16160596,6530225
2019-09-25,8056587,13340957,4373189
2019-09-26,8443867,12847947,4973448
2019-09-27,8224747,14131620,4516267
2019-09-30,10159343,9184331,6526038
2019-10-01,11431460,12563998,5235744
2019-10-02,14635321,15468764,6077647
2019-10-03,12782931,12367298,5714127
2019-10-04,10589034,10752332,5112373
2019-10-07,11576036,13261486,7498527
2019-10-08,10349381,10462404,8760986
2019-10-09,8626168,10536092,7124978
2019-10-10,8447220,10753445,7799474
2019-10-11,10176021,10328337,7390718
2019-10-14,6864352,12674555,12952421
2019-10-15,6655121,11031602,6219731
2019-10-16,9811267,8065230,5813900
2019-10-17,9931755,9806743,6485580
2019-10-18,13473727,12563846,6972444
2019-10-21,10473346,7367415,6771733
2019-10-22,9503140,9289672,10623391
2019-10-23,8722963,9642752,7831184
2019-10-24,9069090,8256416,7274303
2019-10-25,7607192,10132235,5270726
2019-10-28,11209579,7489890,4644363
2019-10-29,13894441,8982747,6373363
2019-10-30,12840564,11170919,5558514
2019-10-31,16169055,11492008,12515362
2019-11-01,14108731,12586634,9024791
2019-11-04,15858154,13325156,13452253
2019-11-05,14930416,14027151,19344336
2019-11-06,13996462,18587155,17042722
2019-11-07,13073780,16015324,15278621
2019-11-08,12107599,15567260,13610893
2019-11-11,8675982,11866803,14586380
2019-11-12,13918873,12294124,12823655
2019-11-13,12042872,11762385,9389469
2019-11-14,11281012,9465225,8833727
2019-11-15,11253689,9164451,14166226
2019-11-18,10098937,9683094,13131619
2019-11-19,12614042,9683155,12540422
2019-11-20,16931767,13862476,10302774
2019-11-21,14080938,11167466,9308850
2019-11-22,12143555,15753068,9467566
2019-11-25,10671464,18271401,10266366
2019-11-26,15461901,18973993,13366687
2019-11-27,8396166,9950653,7060390
2019-11-28,8396166,9950653,7060390
2019-11-29,7980847,7395405,4664012
2019-12-02,11117997,12643283,10832109
2019-12-03,12867766,10620869,11612891
2019-12-04,11051691,12499151,10538497
2019-12-05,13110776,10411742,9216436
2019-12-06,13711715,11118965,10418495
2019-12-09,12406434,9266283,17393930
2019-12-10,14283425,8363555,12618009
2019-12-11,13748805,7991428,7862983
2019-12-12,17074900,10808860,9483871
2019-12-13,12276521,9688674,9888602
2019-12-16,15209258,10286387,9574113
2019-12-17,14457719,11856434,13580214
2019-12-18,13652308,12425128,9416696
2019-12-19,13278703,11183659,7469391
2019-12-20,35093469,20635187,17276173
2019-12-23,14173807,10030776,10019939
2019-12-24,3979442,4065022,4696328
2019-12-25,3979442,4065022,4696328
2019-12-26,8842249,7329294,6050153
2019-12-27,10518520,7387007,7054657
2019-12-30,12691254,6504938,10494209
2019-12-31,13158024,7027777,10374814
2020-01-01,13158024,7027777,10374814
2020-01-02,12406912,10127979,12791380
2020-01-03,17390568,14861485,15099860
2020-01-06,20082493,12023778,16660648
2020-01-07,17496314,9623861,12171792
2020-01-08,15140731,15595341,12253385
2020-01-09,14812442,14048333,14636205
2020-01-10,11997133,11210280,10543314
2020-01-13,9965210,12674675,8457171
2020-01-14,16267403,11710731,12187350
2020-01-15,11390257,8458577,7085996
2020-01-16,13340349,9898772,9757575
2020-01-17,18144097,8375328,14379270
2020-01-20,18144097,8375328,14379270
2020-01-21,17982599,12326616,10814191
2020-01-22,17033140,10680715,12953206
2020-01-23,19605865,10974900,10789804
2020-01-24,18238553,14343406,8797598
2020-01-27,21231010,16137376,9303860
2020-01-28,19664697,11954989,7206362
2020-01-29,14229484,14526485,6656869
2020-01-30,18544663,16276283,9509075
2020-01-31,34282899,21638321,16035687
2020-02-03,27397306,14591740,8731785
2020-02-04,31922057,15017420,7859617
2020-02-05,32099203,14443926,8613192
2020-02-06,16055371,11759932,6201474
2020-02-07,15112535,10401692,5030134
2020-02-10,20934456,12410004,7915417
2020-02-11,14908715,11352065,12132742
2020-02-12,17862134,23898517,8214630
2020-02-13,16949364,30411397,8402366
2020-02-14,10855299,19189545,6401461
2020-02-17,10855299,19189545,6401461
2020-02-18,18954757,17998235,9519205
2020-02-19,12804907,17660373,7536313
2020-02-20,14817238,14551112,7728902
2020-02-21,20315705,18987885,8921118
2020-02-24,32096615,21076854,12503141
2020-02-25,36414538,27736221,22058562
2020-02-26,29812354,26976650,22703552
2020-02-27,48141281,35230801,23516861
2020-02-28,62468380,32563556,24190102
2020-03-02,38127634,23726117,17223730
2020-03-03,50580657,28467075,19991638
2020-03-04,24079615,19274366,14006621
2020-03-05,40788165,19893921,19217981
2020-03-06,55640488,31805326,38969055
2020-03-09,72896300,105292460,104930331
2020-03-10,60376720,103558771,110525340
2020-03-11,52015036,69932111,70594865
2020-03-12,65725310,51908762,73141752
2020-03-13,79891532,46499476,64910364
2020-03-16,48924723,40301328,37309727
2020-03-17,41204445,43146511,34731505
2020-03-18,54036416,37555231,41257229
2020-03-19,49412441,38897535,38092458
2020-03-20,76534632,48008112,50833307
2020-03-23,56952490,32313288,36784043
2020-03-24,61835603,45462996,42020553
2020-03-25,56607669,45456375,55409624
2020-03-26,46754736,50200006,70322564
2020-03-27,51558552,44091858,34675569
2020-03-30,45834987,51862485,44717611
2020-03-31,41491612,45654201,35568418
2020-04-01,36045930,52822623,39837234
2020-04-02,62000162,86465040,79141622
2020-04-03,48425662,69728170,92062316
2020-04-06,41301933,63813571,52068112
2020-04-07,48921827,76558193,54728628
2020-04-08,33355550,60575907,48988571
2020-04-09,60208060,100806160,110851096
2020-04-10,60208060,100806160,110851096
2020-04-13,29651941,56835383,43697484
2020-04-14,30768967,45640891,40661017
2020-04-15,33125000,42160607,47465236
2020-04-16,30933970,40223079,40453931
2020-04-17,40829135,48008481,51691011
2020-04-20,39260780,50013421,74975477
2020-04-21,44381590,41721323,62591153
2020-04-22,27084692,38178656,44568051
2020-04-23,35270950,47762763,55054636
2020-04-24,28667004,52861671,41030017
2020-04-27,28274373,32910601,39972533
2020-04-28,26545071,30201415,46179356
2020-04-29,29502522,49212863,59582825
2020-04-30,37076298,76939689,44491712
2020-05-01,35399315,37538048,36902354
2020-05-04,27465643,31074170,37197387
2020-05-05,29276154,51969938,49502156
2020-05-06,22659018,30065962,57658966
2020-05-07,22160320,41313095,35565380
2020-05-08,19998701,33772204,31352419
2020-05-11,22258025,29104451,22899365
2020-05-12,25439095,46900349,27103709
2020-05-13,30827912,67595822,35258098
2020-05-14,24856521,33303674,32063964
2020-05-15,22445564,35936015,27756356
2020-05-18,32046113,45410758,39943812
2020-05-19,21771647,34827532,28708575
2020-05-20,19352436,36032452,29203145
2020-05-21,19130740,30115771,35671421
2020-05-22,15406404,19179922,26334296
2020-05-25,15406404,19179922,26334296
2020-05-26,20356452,28896742,28032976
2020-05-27,20788290,35656269,31402970
2020-05-28,19705894,46706986,39904917
2020-05-29,25886238,107575361,61378450
2020-06-01,19038401,44238359,36779455
2020-06-02,22318978,36405453,40165924
2020-06-03,23418047,33631195,41191553
2020-06-04,18731361,47124922,39027865
2020-06-05,41328943,65424624,119073438
2020-06-08,33579420,70676913,131285759
2020-06-09,27276943,48244418,71936766
2020-06-10,31156787,38036819,50740462
2020-06-11,39182998,42126054,61262888
2020-06-12,30978124,37745050,44937864
2020-06-15,27929288,30214820,46134008
2020-06-16,26203378,37950695,57504992
2020-06-17,19279402,32768601,38371633
2020-06-18,21478681,19947751,36051693
2020-06-19,48899935,44425607,70262404
2020-06-22,17565387,25006150,30116715
2020-06-23,18916587,24071937,33856844
2020-06-24,27626940,32388609,32321997
2020-06-25,19353595,25389200,23327566
2020-06-26,31518584,28808288,31831922
2020-06-29,17052128,24802815,24504484
2020-06-30,22153616,23412118,26525209
2020-07-01,17290059,24093766,32856677
2020-07-02,18216593,28868050,28133241
2020-07-03,18216593,28868050,28133241
2020-07-06,22692048,36221872,23933246
2020-07-07,17407625,25392509,20117702
2020-07-08,18291392,24066222,20482339
2020-07-09,25881977,24227948,22124580
2020-07-10,18950975,32454199,17584209
2020-07-13,20028282,32414779,21665693
2020-07-14,21444117,32180874,19740497
2020-07-15,17332448,30837805,22801408
2020-07-16,14673677,20631040,15462953
2020-07-17,17965089,24785359,21090995
2020-07-20,18553910,20886538,21260151
2020-07-21,28833574,37245147,44473166
2020-07-22,21345403,23132023,16994332
2020-07-23,17934429,20648208,14044090
2020-07-24,16415314,18246830,12779120
2020-07-27,18547862,21472920,13963307
2020-07-28,19190502,14634031,12859463
2020-07-29,14143181,16081217,16384026
2020-07-30,29901095,20415714,29336448
2020-07-31,32123002,21249455,15454887
2020-08-03,23040541,22435659,22888037
2020-08-04,17724024,24005277,21703229
2020-08-05,17445784,33060129,24675455
2020-08-06,14434935,31515125,18745132
2020-08-07,18757929,28780715,20961254
2020-08-10,24367750,25702967,26718499
2020-08-11,28987456,28332668,41894035
2020-08-12,22508884,20526994,31798825
2020-08-13,17338689,16856163,28459103
2020-08-14,13595695,16328599,21267234
2020-08-17,15554630,22005501,31108817
